family,feature,quintile,hour_block,horizon_bars,outcome,n_state,n_comp,effect,state_mean,comp_mean,p,q,confirmation_n_state,confirmation_n_comp,confirmation_effect,confirmation_p,direction,confirmation_q,quarters_same_sign,quarter_details
compression_expansion,compression6_atr,5,0.0,24,move_ge_1atr,4481,53608,-0.6987160732804055,0.24860522204864985,0.9473212953290554,0.0,0.0,4621,53390,-0.6747295697520692,0.0,-1,0.0,4,"{""1"": {""effect"": -0.5658768196526479, ""n_state"": 1244, ""ok"": true}, ""2"": {""effect"": -0.6602298205520988, ""n_state"": 1106, ""ok"": true}, ""3"": {""effect"": -0.661665550636267, ""n_state"": 1139, ""ok"": true}, ""4"": {""effect"": -0.6537213676021822, ""n_state"": 1132, ""ok"": true}}"
compression_expansion,compression6_atr,5,0.0,12,move_ge_1atr,4492,59473,-0.6697444056679551,0.24910952804986644,0.9188539337178215,0.0,0.0,4623,59181,-0.6463019699758288,0.0,-1,0.0,4,"{""1"": {""effect"": -0.5424120689796958, ""n_state"": 1244, ""ok"": true}, ""2"": {""effect"": -0.6359568474775348, ""n_state"": 1106, ""ok"": true}, ""3"": {""effect"": -0.6382363904332072, ""n_state"": 1139, ""ok"": true}, ""4"": {""effect"": -0.6325929978395273, ""n_state"": 1134, ""ok"": true}}"
compression_expansion,atr_slope3,5,0.0,24,move_ge_1atr,5497,52592,-0.5604269917618034,0.3860287429507004,0.9464557347125038,0.0,0.0,5319,52692,-0.5811136423958336,0.0,-1,0.0,4,"{""1"": {""effect"": -0.49730483878564663, ""n_state"": 1395, ""ok"": true}, ""2"": {""effect"": -0.5545075815098344, ""n_state"": 1291, ""ok"": true}, ""3"": {""effect"": -0.5470039303227474, ""n_state"": 1346, ""ok"": true}, ""4"": {""effect"": -0.5652652297987606, ""n_state"": 1287, ""ok"": true}}"
compression_expansion,atr_slope3,5,0.0,12,move_ge_1atr,5508,58457,-0.541745222506127,0.3767247639796659,0.9184699864857929,0.0,0.0,5324,58480,-0.5619363982729009,0.0,-1,0.0,4,"{""1"": {""effect"": -0.4810393868957072, ""n_state"": 1395, ""ok"": true}, ""2"": {""effect"": -0.5475786706388309, ""n_state"": 1291, ""ok"": true}, ""3"": {""effect"": -0.5309764893063116, ""n_state"": 1346, ""ok"": true}, ""4"": {""effect"": -0.547853004173663, ""n_state"": 1292, ""ok"": true}}"
compression_expansion,compression6_atr,5,0.0,6,move_ge_1atr,4492,62644,-0.5738120421306212,0.2413178984861977,0.8151299406168189,0.0,0.0,4628,62303,-0.5485227240930657,0.0,-1,0.0,4,"{""1"": {""effect"": -0.4520158618356557, ""n_state"": 1244, ""ok"": true}, ""2"": {""effect"": -0.5385750616909184, ""n_state"": 1106, ""ok"": true}, ""3"": {""effect"": -0.5449875100564356, ""n_state"": 1139, ""ok"": true}, ""4"": {""effect"": -0.5494533227658913, ""n_state"": 1139, ""ok"": true}}"
compression_expansion,compression6_atr,5,4.0,24,move_ge_1atr,3070,55019,-0.5563771484804805,0.36644951140065146,0.922826659881132,0.0,0.0,3082,54929,-0.5474382250444261,0.0,-1,0.0,4,"{""1"": {""effect"": -0.6658261453709653, ""n_state"": 715, ""ok"": true}, ""2"": {""effect"": -0.5126903804134022, ""n_state"": 803, ""ok"": true}, ""3"": {""effect"": -0.5437767818717041, ""n_state"": 761, ""ok"": true}, ""4"": {""effect"": -0.39524904249255477, ""n_state"": 803, ""ok"": true}}"
compression_expansion,compression6_atr,5,4.0,12,move_ge_1atr,3440,60525,-0.5404188159803271,0.36046511627906974,0.9008839322593969,0.0,0.0,3472,60332,-0.5342321642059865,0.0,-1,0.0,4,"{""1"": {""effect"": -0.6122683963221247, ""n_state"": 849, ""ok"": true}, ""2"": {""effect"": -0.5082135649473443, ""n_state"": 875, ""ok"": true}, ""3"": {""effect"": -0.5521560583062165, ""n_state"": 836, ""ok"": true}, ""4"": {""effect"": -0.3858634434301743, ""n_state"": 912, ""ok"": true}}"
compression_expansion,atr_slope3,5,0.0,6,move_ge_1atr,5508,61628,-0.4772969699095078,0.33859840232389254,0.8158953722334004,0.0,0.0,5329,61602,-0.49578109415127025,0.0,-1,0.0,4,"{""1"": {""effect"": -0.4135519376365087, ""n_state"": 1395, ""ok"": true}, ""2"": {""effect"": -0.48651036968540934, ""n_state"": 1291, ""ok"": true}, ""3"": {""effect"": -0.47025228764640914, ""n_state"": 1346, ""ok"": true}, ""4"": {""effect"": -0.4957912560551375, ""n_state"": 1297, ""ok"": true}}"
compression_expansion,atr_slope3,5,4.0,24,move_ge_1atr,3408,54681,-0.49742960193449787,0.4251760563380282,0.922605658272526,0.0,0.0,3418,54593,-0.4844897081211754,0.0,-1,0.0,4,"{""1"": {""effect"": -0.5545176624259491, ""n_state"": 837, ""ok"": true}, ""2"": {""effect"": -0.4824641214804988, ""n_state"": 843, ""ok"": true}, ""3"": {""effect"": -0.4781681457593645, ""n_state"": 844, ""ok"": true}, ""4"": {""effect"": -0.3436305767285872, ""n_state"": 894, ""ok"": true}}"
compression_expansion,atr_slope3,5,4.0,12,move_ge_1atr,3804,60161,-0.48924395144322774,0.4116719242902208,0.9009158757334486,0.0,0.0,3874,59930,-0.472062820494156,0.0,-1,0.0,4,"{""1"": {""effect"": -0.5205149884855955, ""n_state"": 991, ""ok"": true}, ""2"": {""effect"": -0.4759425363855617, ""n_state"": 929, ""ok"": true}, ""3"": {""effect"": -0.48102353555743876, ""n_state"": 938, ""ok"": true}, ""4"": {""effect"": -0.32969418651139015, ""n_state"": 1016, ""ok"": true}}"
compression_expansion,compression6_atr,5,4.0,6,move_ge_1atr,3796,63340,-0.462810120702729,0.34009483667017915,0.8029049573729081,0.0,0.0,3817,63114,-0.4406057059451096,0.0,-1,0.0,4,"{""1"": {""effect"": -0.4917708986290317, ""n_state"": 983, ""ok"": true}, ""2"": {""effect"": -0.43395804864142973, ""n_state"": 934, ""ok"": true}, ""3"": {""effect"": -0.46940364031823406, ""n_state"": 904, ""ok"": true}, ""4"": {""effect"": -0.29688777099754143, ""n_state"": 996, ""ok"": true}}"
compression_expansion,atr_slope3,5,5.0,24,move_ge_1atr,680,57409,-0.4754585517950147,0.4235294117647059,0.8989879635597205,0.0,0.0,776,57235,-0.43470197476671957,0.0,-1,0.0,4,"{""1"": {""effect"": -0.46462803101056743, ""n_state"": 192, ""ok"": true}, ""2"": {""effect"": -0.4754853625502305, ""n_state"": 204, ""ok"": true}, ""3"": {""effect"": -0.4311782245786604, ""n_state"": 189, ""ok"": true}, ""4"": {""effect"": -0.3467854743281642, ""n_state"": 191, ""ok"": true}}"
compression_expansion,atr_slope12,5,0.0,24,move_ge_1atr,7378,50711,-0.40268697099594,0.5418812686364869,0.9445682396324269,0.0,0.0,7266,50745,-0.4114031809604197,0.0,-1,0.0,4,"{""1"": {""effect"": -0.34712810040863185, ""n_state"": 1896, ""ok"": true}, ""2"": {""effect"": -0.384936485133337, ""n_state"": 1747, ""ok"": true}, ""3"": {""effect"": -0.3759384189200621, ""n_state"": 1835, ""ok"": true}, ""4"": {""effect"": -0.37967936764755217, ""n_state"": 1788, ""ok"": true}}"
compression_expansion,atr_slope12,5,0.0,12,move_ge_1atr,7390,56575,-0.38856618533004617,0.5281461434370771,0.9167123287671233,0.0,0.0,7278,56526,-0.3967719120652706,0.0,-1,0.0,4,"{""1"": {""effect"": -0.33516393864967453, ""n_state"": 1896, ""ok"": true}, ""2"": {""effect"": -0.3840466515730469, ""n_state"": 1747, ""ok"": true}, ""3"": {""effect"": -0.3660334518142433, ""n_state"": 1835, ""ok"": true}, ""4"": {""effect"": -0.36405414704427674, ""n_state"": 1800, ""ok"": true}}"
compression_expansion,atr_slope3,5,4.0,6,move_ge_1atr,4215,62921,-0.418174919413059,0.3848161328588375,0.8029910522718965,0.0,0.0,4270,62661,-0.3859714779879256,0.0,-1,0.0,4,"{""1"": {""effect"": -0.426847357782195, ""n_state"": 1127, ""ok"": true}, ""2"": {""effect"": -0.40025404633538314, ""n_state"": 1005, ""ok"": true}, ""3"": {""effect"": -0.39915827849561913, ""n_state"": 1031, ""ok"": true}, ""4"": {""effect"": -0.24670855878466424, ""n_state"": 1107, ""ok"": true}}"
compression_expansion,compression6_atr,5,0.0,3,move_ge_1atr,4492,64240,-0.3974981813524306,0.20837043633125557,0.6058686176836862,0.0,0.0,4630,63882,-0.3747191281333165,0.0,-1,0.0,4,"{""1"": {""effect"": -0.2897817952167908, ""n_state"": 1244, ""ok"": true}, ""2"": {""effect"": -0.37563164112166064, ""n_state"": 1106, ""ok"": true}, ""3"": {""effect"": -0.3816229037543887, ""n_state"": 1139, ""ok"": true}, ""4"": {""effect"": -0.3810841353302187, ""n_state"": 1141, ""ok"": true}}"
compression_expansion,compression6_atr,5,,24,move_ge_1atr,16429,41660,-0.3585862069539867,0.6362529673138961,0.9948391742678828,0.0,0.0,15850,42161,-0.3654533810867864,0.0,-1,0.0,4,"{""1"": {""effect"": -0.2819488501015711, ""n_state"": 4059, ""ok"": true}, ""2"": {""effect"": -0.30519081160538497, ""n_state"": 3856, ""ok"": true}, ""3"": {""effect"": -0.2900061464888183, ""n_state"": 4055, ""ok"": true}, ""4"": {""effect"": -0.2632465923160443, ""n_state"": 3880, ""ok"": true}}"
compression_expansion,atr_slope12,5,0.0,6,move_ge_1atr,7390,59746,-0.34426658329463017,0.47036535859269285,0.814631941887323,0.0,0.0,7284,59647,-0.34998139152692287,0.0,-1,0.0,4,"{""1"": {""effect"": -0.2837966670981124, ""n_state"": 1896, ""ok"": true}, ""2"": {""effect"": -0.3475655914381875, ""n_state"": 1747, ""ok"": true}, ""3"": {""effect"": -0.3131999639015644, ""n_state"": 1835, ""ok"": true}, ""4"": {""effect"": -0.3406891423980207, ""n_state"": 1806, ""ok"": true}}"
compression_expansion,atr_slope3,5,,24,move_ge_1atr,17614,40475,-0.3354302886559227,0.6597025093675486,0.9951327980234713,0.0,0.0,16559,41452,-0.3499428152822749,0.0,-1,0.0,4,"{""1"": {""effect"": -0.2640022042871508, ""n_state"": 4279, ""ok"": true}, ""2"": {""effect"": -0.29559018445039353, ""n_state"": 3963, ""ok"": true}, ""3"": {""effect"": -0.2736596333803525, ""n_state"": 4222, ""ok"": true}, ""4"": {""effect"": -0.24477276686268457, ""n_state"": 4095, ""ok"": true}}"
compression_expansion,atr_slope3,5,0.0,3,move_ge_1atr,5508,63224,-0.3339582741209202,0.2726942628903413,0.6066525370112615,0.0,0.0,5330,63182,-0.3455251076983416,0.0,-1,0.0,4,"{""1"": {""effect"": -0.26233861235098843, ""n_state"": 1395, ""ok"": true}, ""2"": {""effect"": -0.34940088193779495, ""n_state"": 1291, ""ok"": true}, ""3"": {""effect"": -0.3431030850843969, ""n_state"": 1346, ""ok"": true}, ""4"": {""effect"": -0.3490972398579924, ""n_state"": 1298, ""ok"": true}}"
