family,feature,quintile,hour_block,horizon_bars,outcome,n_state,n_comp,effect,state_mean,comp_mean,p,q,confirmation_n_state,confirmation_n_comp,confirmation_effect,confirmation_p,direction,confirmation_q,quarters_same_sign,quarter_details
range_location,dist_high24_atr,5,0.0,24,move_ge_1atr,6424,51665,-0.4715687018305375,0.47400373599003737,0.9455724378205749,0.0,0.0,6371,51640,-0.47739896578233015,0.0,-1,0.0,4,"{""1"": {""effect"": -0.43777934131141244, ""n_state"": 1572, ""ok"": true}, ""2"": {""effect"": -0.43539466034222846, ""n_state"": 1581, ""ok"": true}, ""3"": {""effect"": -0.4303824860683115, ""n_state"": 1645, ""ok"": true}, ""4"": {""effect"": -0.444628333468541, ""n_state"": 1573, ""ok"": true}}"
range_location,dist_high24_atr,5,0.0,12,move_ge_1atr,6429,57536,-0.4592790321672289,0.45870275314979003,0.9179817853170189,0.0,0.0,6383,57421,-0.4634514413515837,0.0,-1,0.0,4,"{""1"": {""effect"": -0.4257838680966274, ""n_state"": 1572, ""ok"": true}, ""2"": {""effect"": -0.43564969127232617, ""n_state"": 1581, ""ok"": true}, ""3"": {""effect"": -0.4215345184726042, ""n_state"": 1645, ""ok"": true}, ""4"": {""effect"": -0.42842579606998243, ""n_state"": 1585, ""ok"": true}}"
range_location,dist_low24_atr,5,0.0,24,move_ge_1atr,6414,51675,-0.47239930974650424,0.4731836607421266,0.9455829704886308,0.0,0.0,6546,51465,-0.4630635843657998,0.0,-1,0.0,4,"{""1"": {""effect"": -0.4314123712098206, ""n_state"": 1591, ""ok"": true}, ""2"": {""effect"": -0.4300769654450341, ""n_state"": 1597, ""ok"": true}, ""3"": {""effect"": -0.42251518687479056, ""n_state"": 1670, ""ok"": true}, ""4"": {""effect"": -0.4078416758013802, ""n_state"": 1688, ""ok"": true}}"
range_location,dist_low24_atr,5,0.0,12,move_ge_1atr,6415,57550,-0.4623861727204579,0.45580670303975057,0.9181928757602085,0.0,0.0,6558,57246,-0.449526016336487,0.0,-1,0.0,4,"{""1"": {""effect"": -0.4199127219343962, ""n_state"": 1591, ""ok"": true}, ""2"": {""effect"": -0.4300875239503506, ""n_state"": 1597, ""ok"": true}, ""3"": {""effect"": -0.41343385909803976, ""n_state"": 1670, ""ok"": true}, ""4"": {""effect"": -0.39375196065802337, ""n_state"": 1700, ""ok"": true}}"
range_location,dist_high24_atr,5,0.0,6,move_ge_1atr,6429,60707,-0.4189734374906759,0.39788458547207967,0.8168580229627556,0.0,0.0,6388,60543,-0.42129366366505855,0.0,-1,0.0,4,"{""1"": {""effect"": -0.37775457974583676, ""n_state"": 1572, ""ok"": true}, ""2"": {""effect"": -0.40540048307004517, ""n_state"": 1581, ""ok"": true}, ""3"": {""effect"": -0.37329270033456724, ""n_state"": 1645, ""ok"": true}, ""4"": {""effect"": -0.405683699612069, ""n_state"": 1590, ""ok"": true}}"
range_location,dist_low24_atr,5,0.0,6,move_ge_1atr,6415,60721,-0.42257030523685096,0.39454403741231486,0.8171143426491658,0.0,0.0,6558,60373,-0.4069002224541207,0.0,-1,0.0,4,"{""1"": {""effect"": -0.3737376238433321, ""n_state"": 1591, ""ok"": true}, ""2"": {""effect"": -0.39841832725858034, ""n_state"": 1597, ""ok"": true}, ""3"": {""effect"": -0.36060439761594776, ""n_state"": 1670, ""ok"": true}, ""4"": {""effect"": -0.3731451394005196, ""n_state"": 1700, ""ok"": true}}"
range_location,dist_high24_atr,5,4.0,12,move_ge_1atr,5108,58857,-0.36026066868813045,0.5403288958496476,0.900589564537778,0.0,0.0,4939,58865,-0.3731073500855515,0.0,-1,0.0,4,"{""1"": {""effect"": -0.41045304314159003, ""n_state"": 1242, ""ok"": true}, ""2"": {""effect"": -0.3443172183325589, ""n_state"": 1241, ""ok"": true}, ""3"": {""effect"": -0.3446929263127273, ""n_state"": 1288, ""ok"": true}, ""4"": {""effect"": -0.30200240441183546, ""n_state"": 1168, ""ok"": true}}"
range_location,dist_low24_atr,5,4.0,12,move_ge_1atr,5022,58943,-0.3669808832518423,0.5336519315013939,0.9006328147532362,0.0,0.0,5074,58730,-0.3684710017268016,0.0,-1,0.0,4,"{""1"": {""effect"": -0.4191493244120546, ""n_state"": 1239, ""ok"": true}, ""2"": {""effect"": -0.33008095321462383, ""n_state"": 1298, ""ok"": true}, ""3"": {""effect"": -0.3122104213960124, ""n_state"": 1417, ""ok"": true}, ""4"": {""effect"": -0.3266202585303153, ""n_state"": 1120, ""ok"": true}}"
range_location,dist_high24_atr,5,4.0,24,move_ge_1atr,4656,53433,-0.3466822478907491,0.5745274914089347,0.9212097392996837,0.0,0.0,4459,53552,-0.3577295607631943,0.0,-1,0.0,4,"{""1"": {""effect"": -0.40901969382718356, ""n_state"": 1083, ""ok"": true}, ""2"": {""effect"": -0.34252774793680996, ""n_state"": 1126, ""ok"": true}, ""3"": {""effect"": -0.3189253363168333, ""n_state"": 1187, ""ok"": true}, ""4"": {""effect"": -0.2767465538200221, ""n_state"": 1063, ""ok"": true}}"
range_location,dist_low24_atr,5,4.0,24,move_ge_1atr,4570,53519,-0.3533905400904066,0.5678336980306345,0.9212242381210412,0.0,0.0,4517,53494,-0.3539829290606966,0.0,-1,0.0,4,"{""1"": {""effect"": -0.42251955732063884, ""n_state"": 1053, ""ok"": true}, ""2"": {""effect"": -0.3255224487392059, ""n_state"": 1171, ""ok"": true}, ""3"": {""effect"": -0.28641574080730503, ""n_state"": 1300, ""ok"": true}, ""4"": {""effect"": -0.3074933457701755, ""n_state"": 993, ""ok"": true}}"
range_location,dist_high24_atr,5,4.0,6,move_ge_1atr,5516,61620,-0.3510865914483469,0.4544960116026106,0.8055826030509575,0.0,0.0,5309,61622,-0.3490862625543557,0.0,-1,0.0,4,"{""1"": {""effect"": -0.37403379678518933, ""n_state"": 1356, ""ok"": true}, ""2"": {""effect"": -0.32071940684582295, ""n_state"": 1339, ""ok"": true}, ""3"": {""effect"": -0.3336991556839645, ""n_state"": 1377, ""ok"": true}, ""4"": {""effect"": -0.27878038889745765, ""n_state"": 1237, ""ok"": true}}"
range_location,dist_low24_atr,5,4.0,6,move_ge_1atr,5391,61745,-0.36130500895259177,0.4444444444444444,0.8057494533970362,0.0,0.0,5465,61466,-0.3463315879241952,0.0,-1,0.0,4,"{""1"": {""effect"": -0.38396968088908034, ""n_state"": 1354, ""ok"": true}, ""2"": {""effect"": -0.30937120233583154, ""n_state"": 1388, ""ok"": true}, ""3"": {""effect"": -0.2981275592076057, ""n_state"": 1524, ""ok"": true}, ""4"": {""effect"": -0.3093614975704159, ""n_state"": 1199, ""ok"": true}}"
range_location,dist_high24_atr,5,0.0,3,move_ge_1atr,6429,62303,-0.323820597908025,0.2863586871986312,0.6101792851066562,0.0,0.0,6388,62124,-0.3242041579877795,0.0,-1,0.0,4,"{""1"": {""effect"": -0.2655147483105527, ""n_state"": 1572, ""ok"": true}, ""2"": {""effect"": -0.3256114931242595, ""n_state"": 1581, ""ok"": true}, ""3"": {""effect"": -0.29721495416910476, ""n_state"": 1645, ""ok"": true}, ""4"": {""effect"": -0.31550602701088787, ""n_state"": 1590, ""ok"": true}}"
range_location,dist_low24_atr,5,0.0,3,move_ge_1atr,6415,62317,-0.3258094775548011,0.284489477786438,0.6102989553412391,0.0,0.0,6558,61954,-0.3121700255468983,0.0,-1,0.0,4,"{""1"": {""effect"": -0.25969444482561127, ""n_state"": 1591, ""ok"": true}, ""2"": {""effect"": -0.32118692248331765, ""n_state"": 1597, ""ok"": true}, ""3"": {""effect"": -0.28192980604722157, ""n_state"": 1670, ""ok"": true}, ""4"": {""effect"": -0.2939687481290786, ""n_state"": 1700, ""ok"": true}}"
range_location,dist_high24_atr,5,,24,move_ge_1atr,19938,38151,-0.2991338889331796,0.6969605777911526,0.9960944667243322,0.0,0.0,18876,39135,-0.3087975458807195,0.0,-1,0.0,4,"{""1"": {""effect"": -0.24834132699631994, ""n_state"": 4533, ""ok"": true}, ""2"": {""effect"": -0.22456046278593766, ""n_state"": 4869, ""ok"": true}, ""3"": {""effect"": -0.2174463108023269, ""n_state"": 5033, ""ok"": true}, ""4"": {""effect"": -0.21784597315299414, ""n_state"": 4441, ""ok"": true}}"
range_location,dist_high24_atr,5,,12,move_ge_1atr,21490,42475,-0.2872032791851118,0.6811074918566775,0.9683107710417893,0.0,0.0,20363,43441,-0.3018019339494833,0.0,-1,0.0,4,"{""1"": {""effect"": -0.23913912126776848, ""n_state"": 4992, ""ok"": true}, ""2"": {""effect"": -0.21929440414520274, ""n_state"": 5266, ""ok"": true}, ""3"": {""effect"": -0.21950486192664176, ""n_state"": 5382, ""ok"": true}, ""4"": {""effect"": -0.21553833927126675, ""n_state"": 4723, ""ok"": true}}"
