family,feature,quintile,hour_block,horizon_bars,outcome,n_state,n_comp,effect,state_mean,comp_mean,p,q,confirmation_n_state,confirmation_n_comp,confirmation_effect,confirmation_p,direction,confirmation_q,quarters_same_sign,quarter_details,abs_confirmation_effect
abnormal_activity,tickvol_z48,5,4.0,24,mean_fwd_ret_atr,4114,48020,-0.1137616134753861,0.0697345905731964,0.1834962040485826,0.0125689497060961,0.0371254633874321,3880,48289,-0.2084214132844074,1.2494292284858012e-05,-1,6.247146142429006e-05,4,"{""1"": {""effect"": -0.21465500494789896, ""n_state"": 756, ""ok"": true}, ""2"": {""effect"": -0.0740011534470433, ""n_state"": 1089, ""ok"": true}, ""3"": {""effect"": -0.06400927308643767, ""n_state"": 1178, ""ok"": true}, ""4"": {""effect"": -0.5172462202453746, ""n_state"": 857, ""ok"": true}}",0.2084214132844074
abnormal_activity,gap_atr,2,4.0,24,mean_fwd_ret_atr,3419,48715,-0.1174614260899925,0.0647608557190525,0.182222281809045,0.0125598758737365,0.0371254633874321,2698,49471,-0.200469184831908,0.0002009895038218,-1,0.0005024737595545,4,"{""1"": {""effect"": -0.3963455695313669, ""n_state"": 608, ""ok"": true}, ""2"": {""effect"": -0.12737723116612518, ""n_state"": 616, ""ok"": true}, ""3"": {""effect"": -0.0035130396876212056, ""n_state"": 661, ""ok"": true}, ""4"": {""effect"": -0.2435168858932059, ""n_state"": 813, ""ok"": true}}",0.200469184831908
abnormal_activity,gap_atr,4,5.0,24,mean_fwd_ret_atr,1233,50901,0.2804715462358181,0.4483572716265863,0.1678857253907681,0.0028820364708716,0.0133294186777813,1491,50678,0.2005162075910122,0.0702362237015687,1,0.0856477039433869,3,"{""1"": {""effect"": 0.2466053671644917, ""n_state"": 283, ""ok"": true}, ""2"": {""effect"": 0.5847602318559272, ""n_state"": 357, ""ok"": true}, ""3"": {""effect"": 0.17285838203137524, ""n_state"": 363, ""ok"": true}, ""4"": {""effect"": -0.10058742512797243, ""n_state"": 488, ""ok"": false}}",0.2005162075910122
abnormal_activity,gap_atr,5,4.0,3,move_ge_1atr,3758,64974,-0.4028756465127501,0.1990420436402341,0.6019176901529842,0.0,0.0,3748,64764,-0.3903218562139118,0.0,-1,0.0,4,"{""1"": {""effect"": -0.4225418824455559, ""n_state"": 934, ""ok"": true}, ""2"": {""effect"": -0.3468642548747958, ""n_state"": 1044, ""ok"": true}, ""3"": {""effect"": -0.3580633719687739, ""n_state"": 1060, ""ok"": true}, ""4"": {""effect"": -0.37478374272062276, ""n_state"": 710, ""ok"": true}}",0.3903218562139118
abnormal_activity,gap_atr,5,0.0,3,move_ge_1atr,5013,63719,-0.3752631926432103,0.2319968082984241,0.6072600009416343,0.0,0.0,4734,63778,-0.3893075822008967,0.0,-1,0.0,4,"{""1"": {""effect"": -0.35711563707182853, ""n_state"": 1146, ""ok"": true}, ""2"": {""effect"": -0.3661319823578252, ""n_state"": 1189, ""ok"": true}, ""3"": {""effect"": -0.31799876516162445, ""n_state"": 1357, ""ok"": true}, ""4"": {""effect"": -0.4506882848622279, ""n_state"": 1042, ""ok"": true}}",0.3893075822008967
abnormal_activity,gap_atr,5,,3,move_ge_1atr,19113,49619,-0.2168013982868192,0.4233767592737927,0.6401781575606119,0.0,0.0,18989,49523,-0.2114666944930693,0.0,-1,0.0,4,"{""1"": {""effect"": -0.18175907259643725, ""n_state"": 4449, ""ok"": true}, ""2"": {""effect"": -0.1629464954346324, ""n_state"": 5133, ""ok"": true}, ""3"": {""effect"": -0.12307754136468052, ""n_state"": 5950, ""ok"": true}, ""4"": {""effect"": -0.2144644347242104, ""n_state"": 3457, ""ok"": true}}",0.2114666944930693
abnormal_activity,tickvol_z48,5,4.0,3,move_ge_1atr,7604,61128,-0.2164036351554823,0.3874276696475539,0.6038313048030363,1.1296483978340731e-284,1.327336867455036e-283,7433,61079,-0.1866862408721324,1.5289179413316732e-206,-1,1.6818097354648403e-205,4,"{""1"": {""effect"": -0.22422595503577025, ""n_state"": 1735, ""ok"": true}, ""2"": {""effect"": -0.16263346606015938, ""n_state"": 1972, ""ok"": true}, ""3"": {""effect"": -0.19236964857274136, ""n_state"": 2073, ""ok"": true}, ""4"": {""effect"": -0.09900880605550988, ""n_state"": 1653, ""ok"": true}}",0.1866862408721324
abnormal_activity,tickvol_z48,5,0.0,3,move_ge_1atr,9324,59408,-0.1627836090871372,0.4391891891891892,0.6019727982763264,1.1995312403985688e-192,1.1275593659746548e-191,9279,59233,-0.1694245088251919,6.001049640981427e-206,-1,5.280923684063657e-205,4,"{""1"": {""effect"": -0.11866258534132851, ""n_state"": 2268, ""ok"": true}, ""2"": {""effect"": -0.16140426726716223, ""n_state"": 2301, ""ok"": true}, ""3"": {""effect"": -0.15103700201075304, ""n_state"": 2376, ""ok"": true}, ""4"": {""effect"": -0.17459318708446542, ""n_state"": 2334, ""ok"": true}}",0.1694245088251919
abnormal_activity,tickvol_z48,5,,3,move_ge_1atr,31299,37433,-0.0765555811837025,0.538196108501869,0.6147516896855716,3.5170381666545483e-91,1.1807199559483123e-90,29917,38595,-0.0932285450817348,9.517970682029161e-132,-1,5.982724428704043e-131,4,"{""1"": {""effect"": -0.04831385791653364, ""n_state"": 7779, ""ok"": true}, ""2"": {""effect"": -0.07229999443653234, ""n_state"": 7231, ""ok"": true}, ""3"": {""effect"": -0.06423523649045904, ""n_state"": 7678, ""ok"": true}, ""4"": {""effect"": -0.051419337773963014, ""n_state"": 7229, ""ok"": true}}",0.0932285450817348
abnormal_activity,tickvol_z48,5,5.0,3,move_ge_1atr,3461,65271,-0.1615589706536388,0.4264663392083213,0.5880253098619601,1.4485856716244898e-78,3.782418142575056e-78,3782,64730,-0.1573263974187861,2.576813655989581e-80,-1,9.448316738628463e-80,4,"{""1"": {""effect"": -0.1552231918073158, ""n_state"": 1176, ""ok"": true}, ""2"": {""effect"": -0.18293696494831174, ""n_state"": 842, ""ok"": true}, ""3"": {""effect"": -0.14524207926000549, ""n_state"": 820, ""ok"": true}, ""4"": {""effect"": -0.12131206428075475, ""n_state"": 944, ""ok"": true}}",0.1573263974187861
