family,feature,quintile,hour_block,horizon_bars,outcome,n_state,n_comp,effect,state_mean,comp_mean,p,q,confirmation_n_state,confirmation_n_comp,confirmation_effect,confirmation_p,direction,confirmation_q,quarters_same_sign,quarter_details,abs_confirmation_effect
extension_reversion,body_atr,5,0.0,24,move_ge_1atr,4538,53551,-0.6892220329723784,0.258043190832966,0.9472652238053444,0.0,0.0,4450,53561,-0.702774608138699,0.0,-1,0.0,4,"{""1"": {""effect"": -0.6563893078985182, ""n_state"": 1094, ""ok"": true}, ""2"": {""effect"": -0.6834188473412506, ""n_state"": 1073, ""ok"": true}, ""3"": {""effect"": -0.6550933674519401, ""n_state"": 1149, ""ok"": true}, ""4"": {""effect"": -0.6524031761473961, ""n_state"": 1134, ""ok"": true}}",0.702774608138699
wick_rejection,upper_wick_atr,5,0.0,24,move_ge_1atr,4642,53447,-0.672496517486465,0.2746660922016372,0.9471626096881024,0.0,0.0,4462,53549,-0.7007368444551583,0.0,-1,0.0,4,"{""1"": {""effect"": -0.610315943386482, ""n_state"": 1167, ""ok"": true}, ""2"": {""effect"": -0.6959290029608702, ""n_state"": 1056, ""ok"": true}, ""3"": {""effect"": -0.651849882503428, ""n_state"": 1154, ""ok"": true}, ""4"": {""effect"": -0.6851551314658484, ""n_state"": 1085, ""ok"": true}}",0.7007368444551583
compression_expansion,compression6_atr,5,0.0,24,move_ge_1atr,4481,53608,-0.6987160732804055,0.2486052220486498,0.9473212953290554,0.0,0.0,4621,53390,-0.6747295697520692,0.0,-1,0.0,4,"{""1"": {""effect"": -0.5658768196526479, ""n_state"": 1244, ""ok"": true}, ""2"": {""effect"": -0.6602298205520988, ""n_state"": 1106, ""ok"": true}, ""3"": {""effect"": -0.661665550636267, ""n_state"": 1139, ""ok"": true}, ""4"": {""effect"": -0.6537213676021822, ""n_state"": 1132, ""ok"": true}}",0.6747295697520692
extension_reversion,body_atr,5,0.0,12,move_ge_1atr,4547,59418,-0.6615336271547374,0.2573125137453266,0.918846140900064,0.0,0.0,4454,59350,-0.6738671334306052,0.0,-1,0.0,4,"{""1"": {""effect"": -0.6340003329216028, ""n_state"": 1094, ""ok"": true}, ""2"": {""effect"": -0.6591537175338068, ""n_state"": 1073, ""ok"": true}, ""3"": {""effect"": -0.6307678940561612, ""n_state"": 1149, ""ok"": true}, ""4"": {""effect"": -0.6290593414120567, ""n_state"": 1138, ""ok"": true}}",0.6738671334306052
wick_rejection,upper_wick_atr,5,0.0,12,move_ge_1atr,4653,59312,-0.6449329777349223,0.2738018482699333,0.9187348260048556,0.0,0.0,4466,59338,-0.6730283434587591,0.0,-1,0.0,4,"{""1"": {""effect"": -0.586920852524685, ""n_state"": 1167, ""ok"": true}, ""2"": {""effect"": -0.6745566320114513, ""n_state"": 1056, ""ok"": true}, ""3"": {""effect"": -0.6292882385567533, ""n_state"": 1154, ""ok"": true}, ""4"": {""effect"": -0.6626791495657143, ""n_state"": 1089, ""ok"": true}}",0.6730283434587591
abnormal_activity,gap_atr,5,0.0,24,move_ge_1atr,5004,53085,-0.6198826866734926,0.3269384492406075,0.9468211359141,0.0,0.0,4730,53281,-0.6579044733627959,0.0,-1,0.0,4,"{""1"": {""effect"": -0.6232259466367254, ""n_state"": 1146, ""ok"": true}, ""2"": {""effect"": -0.6075826806204813, ""n_state"": 1189, ""ok"": true}, ""3"": {""effect"": -0.5402976981711556, ""n_state"": 1357, ""ok"": true}, ""4"": {""effect"": -0.7204110678529501, ""n_state"": 1038, ""ok"": true}}",0.6579044733627959
compression_expansion,compression6_atr,5,0.0,12,move_ge_1atr,4492,59473,-0.6697444056679551,0.2491095280498664,0.9188539337178216,0.0,0.0,4623,59181,-0.6463019699758288,0.0,-1,0.0,4,"{""1"": {""effect"": -0.5424120689796958, ""n_state"": 1244, ""ok"": true}, ""2"": {""effect"": -0.6359568474775348, ""n_state"": 1106, ""ok"": true}, ""3"": {""effect"": -0.6382363904332072, ""n_state"": 1139, ""ok"": true}, ""4"": {""effect"": -0.6325929978395273, ""n_state"": 1134, ""ok"": true}}",0.6463019699758288
abnormal_activity,gap_atr,5,0.0,12,move_ge_1atr,5013,58952,-0.5944504865447273,0.3239577099541192,0.9184081964988464,0.0,0.0,4733,59071,-0.6324553953724582,0.0,-1,0.0,4,"{""1"": {""effect"": -0.6042943334538246, ""n_state"": 1146, ""ok"": true}, ""2"": {""effect"": -0.5901460773908557, ""n_state"": 1189, ""ok"": true}, ""3"": {""effect"": -0.5196870793153301, ""n_state"": 1357, ""ok"": true}, ""4"": {""effect"": -0.695743527375134, ""n_state"": 1041, ""ok"": true}}",0.6324553953724582
extension_reversion,body_atr,5,0.0,6,move_ge_1atr,4547,62589,-0.5741446559689941,0.2414778975148449,0.815622553483839,0.0,0.0,4455,62476,-0.5807672732187745,0.0,-1,0.0,4,"{""1"": {""effect"": -0.5441785219987794, ""n_state"": 1094, ""ok"": true}, ""2"": {""effect"": -0.5706247820545982, ""n_state"": 1073, ""ok"": true}, ""3"": {""effect"": -0.5391609054238518, ""n_state"": 1149, ""ok"": true}, ""4"": {""effect"": -0.5521328103915648, ""n_state"": 1139, ""ok"": true}}",0.5807672732187745
wick_rejection,upper_wick_atr,5,0.0,6,move_ge_1atr,4653,62483,-0.5533191011191666,0.2617666021921341,0.8150857033113007,0.0,0.0,4469,62462,-0.5768615001966844,0.0,-1,0.0,4,"{""1"": {""effect"": -0.49595830892182463, ""n_state"": 1167, ""ok"": true}, ""2"": {""effect"": -0.5824878097866713, ""n_state"": 1056, ""ok"": true}, ""3"": {""effect"": -0.5402532410266304, ""n_state"": 1154, ""ok"": true}, ""4"": {""effect"": -0.5763108886941266, ""n_state"": 1092, ""ok"": true}}",0.5768615001966844
