family,feature,quintile,hour_block,horizon_bars,outcome,n_state,n_comp,effect,state_mean,comp_mean,p,q,confirmation_n_state,confirmation_n_comp,confirmation_effect,confirmation_p,direction,confirmation_q,quarters_same_sign,quarter_details,abs_confirmation_effect,robustness_full_n,robustness_full_effect,halves_same_sign,months_same_sign,half_details,month_details,robustness_pass
extension_reversion,body_atr,5,0.0,24,move_ge_1atr,4538,53551,-0.6892220329723784,0.258043190832966,0.9472652238053444,0.0,0.0,4450,53561,-0.702774608138699,0.0,-1,0.0,4,"{""1"": {""effect"": -0.6563893078985182, ""n_state"": 1094, ""ok"": true}, ""2"": {""effect"": -0.6834188473412506, ""n_state"": 1073, ""ok"": true}, ""3"": {""effect"": -0.6550933674519401, ""n_state"": 1149, ""ok"": true}, ""4"": {""effect"": -0.6524031761473961, ""n_state"": 1134, ""ok"": true}}",0.702774608138699,4450,-0.702774608138699,2,12,"{""H1"": {""effect"": -0.6827695432265378, ""n_state"": 2167, ""ok"": true}, ""H2"": {""effect"": -0.6671475314867068, ""n_state"": 2283, ""ok"": true}}","{""1"": {""effect"": -0.6425031359852448, ""n_state"": 385, ""ok"": true}, ""10"": {""effect"": -0.6825993112288307, ""n_state"": 382, ""ok"": true}, ""11"": {""effect"": -0.6378888654140566, ""n_state"": 352, ""ok"": true}, ""12"": {""effect"": -0.6121025064657791, ""n_state"": 400, ""ok"": true}, ""2"": {""effect"": -0.6275350810529228, ""n_state"": 357, ""ok"": true}, ""3"": {""effect"": -0.6750461470968028, ""n_state"": 352, ""ok"": true}, ""4"": {""effect"": -0.6663249238252722, ""n_state"": 356, ""ok"": true}, ""5"": {""effect"": -0.685396836410766, ""n_state"": 364, ""ok"": true}, ""6"": {""effect"": -0.6728473266757967, ""n_state"": 353, ""ok"": true}, ""7"": {""effect"": -0.6785191566019401, ""n_state"": 384, ""ok"": true}, ""8"": {""effect"": -0.6453551912568305, ""n_state"": 366, ""ok"": true}, ""9"": {""effect"": -0.6164135865596088, ""n_state"": 399, ""ok"": true}}",True
wick_rejection,upper_wick_atr,5,0.0,24,move_ge_1atr,4642,53447,-0.672496517486465,0.2746660922016372,0.9471626096881024,0.0,0.0,4462,53549,-0.7007368444551583,0.0,-1,0.0,4,"{""1"": {""effect"": -0.610315943386482, ""n_state"": 1167, ""ok"": true}, ""2"": {""effect"": -0.6959290029608702, ""n_state"": 1056, ""ok"": true}, ""3"": {""effect"": -0.651849882503428, ""n_state"": 1154, ""ok"": true}, ""4"": {""effect"": -0.6851551314658484, ""n_state"": 1085, ""ok"": true}}",0.7007368444551583,4462,-0.7007368444551583,2,12,"{""H1"": {""effect"": -0.6639651681171646, ""n_state"": 2223, ""ok"": true}, ""H2"": {""effect"": -0.6813952884225851, ""n_state"": 2239, ""ok"": true}}","{""1"": {""effect"": -0.568584345389597, ""n_state"": 429, ""ok"": true}, ""10"": {""effect"": -0.7374552276941582, ""n_state"": 357, ""ok"": true}, ""11"": {""effect"": -0.6639793473526812, ""n_state"": 340, ""ok"": true}, ""12"": {""effect"": -0.6315648229667743, ""n_state"": 388, ""ok"": true}, ""2"": {""effect"": -0.6115585488947897, ""n_state"": 365, ""ok"": true}, ""3"": {""effect"": -0.6313448260368146, ""n_state"": 373, ""ok"": true}, ""4"": {""effect"": -0.6706609190587351, ""n_state"": 354, ""ok"": true}, ""5"": {""effect"": -0.7145199830423556, ""n_state"": 351, ""ok"": true}, ""6"": {""effect"": -0.6772574864146145, ""n_state"": 351, ""ok"": true}, ""7"": {""effect"": -0.6326747432476454, ""n_state"": 408, ""ok"": true}, ""8"": {""effect"": -0.6599114425289612, ""n_state"": 359, ""ok"": true}, ""9"": {""effect"": -0.6386605979205477, ""n_state"": 387, ""ok"": true}}",True
compression_expansion,compression6_atr,5,0.0,24,move_ge_1atr,4481,53608,-0.6987160732804055,0.2486052220486498,0.9473212953290554,0.0,0.0,4621,53390,-0.6747295697520692,0.0,-1,0.0,4,"{""1"": {""effect"": -0.5658768196526479, ""n_state"": 1244, ""ok"": true}, ""2"": {""effect"": -0.6602298205520988, ""n_state"": 1106, ""ok"": true}, ""3"": {""effect"": -0.661665550636267, ""n_state"": 1139, ""ok"": true}, ""4"": {""effect"": -0.6537213676021822, ""n_state"": 1132, ""ok"": true}}",0.6747295697520692,4621,-0.6747295697520692,2,12,"{""H1"": {""effect"": -0.6231798421064904, ""n_state"": 2350, ""ok"": true}, ""H2"": {""effect"": -0.6711036900423224, ""n_state"": 2271, ""ok"": true}}","{""1"": {""effect"": -0.6040429064424226, ""n_state"": 406, ""ok"": true}, ""10"": {""effect"": -0.6872974623617127, ""n_state"": 381, ""ok"": true}, ""11"": {""effect"": -0.6485407764187725, ""n_state"": 347, ""ok"": true}, ""12"": {""effect"": -0.6025484732930044, ""n_state"": 404, ""ok"": true}, ""2"": {""effect"": -0.4768587527434664, ""n_state"": 450, ""ok"": true}, ""3"": {""effect"": -0.6030234115064663, ""n_state"": 388, ""ok"": true}, ""4"": {""effect"": -0.623572292696002, ""n_state"": 377, ""ok"": true}, ""5"": {""effect"": -0.6875630787475083, ""n_state"": 363, ""ok"": true}, ""6"": {""effect"": -0.6453551912568305, ""n_state"": 366, ""ok"": true}, ""7"": {""effect"": -0.7015010111645328, ""n_state"": 373, ""ok"": true}, ""8"": {""effect"": -0.6216548389522206, ""n_state"": 378, ""ok"": true}, ""9"": {""effect"": -0.6367541705050119, ""n_state"": 388, ""ok"": true}}",True
extension_reversion,body_atr,5,0.0,12,move_ge_1atr,4547,59418,-0.6615336271547374,0.2573125137453266,0.918846140900064,0.0,0.0,4454,59350,-0.6738671334306052,0.0,-1,0.0,4,"{""1"": {""effect"": -0.6340003329216028, ""n_state"": 1094, ""ok"": true}, ""2"": {""effect"": -0.6591537175338068, ""n_state"": 1073, ""ok"": true}, ""3"": {""effect"": -0.6307678940561612, ""n_state"": 1149, ""ok"": true}, ""4"": {""effect"": -0.6290593414120567, ""n_state"": 1138, ""ok"": true}}",0.6738671334306052,4454,-0.6738671334306052,2,12,"{""H1"": {""effect"": -0.6578200804554232, ""n_state"": 2167, ""ok"": true}, ""H2"": {""effect"": -0.6416265153889122, ""n_state"": 2287, ""ok"": true}}","{""1"": {""effect"": -0.6192664208337745, ""n_state"": 385, ""ok"": true}, ""10"": {""effect"": -0.6593426133696649, ""n_state"": 382, ""ok"": true}, ""11"": {""effect"": -0.6175568289272348, ""n_state"": 352, ""ok"": true}, ""12"": {""effect"": -0.5892750726176719, ""n_state"": 404, ""ok"": true}, ""2"": {""effect"": -0.6043453458739398, ""n_state"": 357, ""ok"": true}, ""3"": {""effect"": -0.6575501954233121, ""n_state"": 352, ""ok"": true}, ""4"": {""effect"": -0.6431148076315525, ""n_state"": 356, ""ok"": true}, ""5"": {""effect"": -0.6621644748693929, ""n_state"": 364, ""ok"": true}, ""6"": {""effect"": -0.6496378303205842, ""n_state"": 353, ""ok"": true}, ""7"": {""effect"": -0.6552620427309997, ""n_state"": 384, ""ok"": true}, ""8"": {""effect"": -0.6221430088704138, ""n_state"": 366, ""ok"": true}, ""9"": {""effect"": -0.5931739687520197, ""n_state"": 399, ""ok"": true}}",True
wick_rejection,upper_wick_atr,5,0.0,12,move_ge_1atr,4653,59312,-0.6449329777349223,0.2738018482699333,0.9187348260048556,0.0,0.0,4466,59338,-0.6730283434587591,0.0,-1,0.0,4,"{""1"": {""effect"": -0.586920852524685, ""n_state"": 1167, ""ok"": true}, ""2"": {""effect"": -0.6745566320114513, ""n_state"": 1056, ""ok"": true}, ""3"": {""effect"": -0.6292882385567533, ""n_state"": 1154, ""ok"": true}, ""4"": {""effect"": -0.6626791495657143, ""n_state"": 1089, ""ok"": true}}",0.6730283434587591,4466,-0.6730283434587591,2,12,"{""H1"": {""effect"": -0.6399068748990417, ""n_state"": 2223, ""ok"": true}, ""H2"": {""effect"": -0.657258331744113, ""n_state"": 2243, ""ok"": true}}","{""1"": {""effect"": -0.5476837009144702, ""n_state"": 429, ""ok"": true}, ""10"": {""effect"": -0.7170206112611955, ""n_state"": 357, ""ok"": true}, ""11"": {""effect"": -0.6407931129088469, ""n_state"": 340, ""ok"": true}, ""12"": {""effect"": -0.6111210522182757, ""n_state"": 392, ""ok"": true}, ""2"": {""effect"": -0.5883671662153289, ""n_state"": 365, ""ok"": true}, ""3"": {""effect"": -0.6081311972567096, ""n_state"": 373, ""ok"": true}, ""4"": {""effect"": -0.6502918352900322, ""n_state"": 354, ""ok"": true}, ""5"": {""effect"": -0.6970198414574567, ""n_state"": 351, ""ok"": true}, ""6"": {""effect"": -0.6540484032801182, ""n_state"": 351, ""ok"": true}, ""7"": {""effect"": -0.6118793911658928, ""n_state"": 408, ""ok"": true}, ""8"": {""effect"": -0.6367007064878205, ""n_state"": 359, ""ok"": true}, ""9"": {""effect"": -0.6180232160867535, ""n_state"": 387, ""ok"": true}}",True
abnormal_activity,gap_atr,5,0.0,24,move_ge_1atr,5004,53085,-0.6198826866734926,0.3269384492406075,0.9468211359141,0.0,0.0,4730,53281,-0.6579044733627959,0.0,-1,0.0,4,"{""1"": {""effect"": -0.6232259466367254, ""n_state"": 1146, ""ok"": true}, ""2"": {""effect"": -0.6075826806204813, ""n_state"": 1189, ""ok"": true}, ""3"": {""effect"": -0.5402976981711556, ""n_state"": 1357, ""ok"": true}, ""4"": {""effect"": -0.7204110678529501, ""n_state"": 1038, ""ok"": true}}",0.6579044733627959,4730,-0.6579044733627959,2,12,"{""H1"": {""effect"": -0.6281606428013532, ""n_state"": 2335, ""ok"": true}, ""H2"": {""effect"": -0.6316910950364083, ""n_state"": 2395, ""ok"": true}}","{""1"": {""effect"": -0.6897412795993739, ""n_state"": 362, ""ok"": true}, ""10"": {""effect"": -0.7015010111645328, ""n_state"": 373, ""ok"": true}, ""11"": {""effect"": -0.6919773463289476, ""n_state"": 328, ""ok"": true}, ""12"": {""effect"": -0.7424248068211905, ""n_state"": 337, ""ok"": true}, ""2"": {""effect"": -0.6000279174951507, ""n_state"": 371, ""ok"": true}, ""3"": {""effect"": -0.562827124327612, ""n_state"": 413, ""ok"": true}, ""4"": {""effect"": -0.649457040262286, ""n_state"": 364, ""ok"": true}, ""5"": {""effect"": -0.5821643137919248, ""n_state"": 419, ""ok"": true}, ""6"": {""effect"": -0.571797527154312, ""n_state"": 406, ""ok"": true}, ""7"": {""effect"": -0.5025009254247841, ""n_state"": 496, ""ok"": true}, ""8"": {""effect"": -0.5073263889990527, ""n_state"": 449, ""ok"": true}, ""9"": {""effect"": -0.5937737086522369, ""n_state"": 412, ""ok"": true}}",True
compression_expansion,compression6_atr,5,0.0,12,move_ge_1atr,4492,59473,-0.6697444056679551,0.2491095280498664,0.9188539337178216,0.0,0.0,4623,59181,-0.6463019699758288,0.0,-1,0.0,4,"{""1"": {""effect"": -0.5424120689796958, ""n_state"": 1244, ""ok"": true}, ""2"": {""effect"": -0.6359568474775348, ""n_state"": 1106, ""ok"": true}, ""3"": {""effect"": -0.6382363904332072, ""n_state"": 1139, ""ok"": true}, ""4"": {""effect"": -0.6325929978395273, ""n_state"": 1134, ""ok"": true}}",0.6463019699758288,4623,-0.6463019699758288,2,12,"{""H1"": {""effect"": -0.5976641791923245, ""n_state"": 2350, ""ok"": true}, ""H2"": {""effect"": -0.6471571853626188, ""n_state"": 2273, ""ok"": true}}","{""1"": {""effect"": -0.5808018372322044, ""n_state"": 406, ""ok"": true}, ""10"": {""effect"": -0.664039387584002, ""n_state"": 381, ""ok"": true}, ""11"": {""effect"": -0.6282507036124533, ""n_state"": 347, ""ok"": true}, ""12"": {""effect"": -0.5857594923430787, ""n_state"": 406, ""ok"": true}, ""2"": {""effect"": -0.45364986162410165, ""n_state"": 450, ""ok"": true}, ""3"": {""effect"": -0.5823997716274405, ""n_state"": 388, ""ok"": true}, ""4"": {""effect"": -0.6003578373835139, ""n_state"": 377, ""ok"": true}, ""5"": {""effect"": -0.6643309245096732, ""n_state"": 363, ""ok"": true}, ""6"": {""effect"": -0.6221430088704138, ""n_state"": 366, ""ok"": true}, ""7"": {""effect"": -0.6782461853062518, ""n_state"": 373, ""ok"": true}, ""8"": {""effect"": -0.5984401770041728, ""n_state"": 378, ""ok"": true}, ""9"": {""effect"": -0.6161099218513264, ""n_state"": 388, ""ok"": true}}",True
abnormal_activity,gap_atr,5,0.0,12,move_ge_1atr,5013,58952,-0.5944504865447273,0.3239577099541192,0.9184081964988464,0.0,0.0,4733,59071,-0.6324553953724582,0.0,-1,0.0,4,"{""1"": {""effect"": -0.6042943334538246, ""n_state"": 1146, ""ok"": true}, ""2"": {""effect"": -0.5901460773908557, ""n_state"": 1189, ""ok"": true}, ""3"": {""effect"": -0.5196870793153301, ""n_state"": 1357, ""ok"": true}, ""4"": {""effect"": -0.695743527375134, ""n_state"": 1041, ""ok"": true}}",0.6324553953724582,4733,-0.6324553953724582,2,12,"{""H1"": {""effect"": -0.6084292763229515, ""n_state"": 2335, ""ok"": true}, ""H2"": {""effect"": -0.6077753130920394, ""n_state"": 2398, ""ok"": true}}","{""1"": {""effect"": -0.6692875260319557, ""n_state"": 362, ""ok"": true}, ""10"": {""effect"": -0.6782461853062518, ""n_state"": 373, ""ok"": true}, ""11"": {""effect"": -0.6687935828252353, ""n_state"": 328, ""ok"": true}, ""12"": {""effect"": -0.717673382223178, ""n_state"": 340, ""ok"": true}, ""2"": {""effect"": -0.576835299150242, ""n_state"": 371, ""ok"": true}, ""3"": {""effect"": -0.551789055992588, ""n_state"": 413, ""ok"": true}, ""4"": {""effect"": -0.6290082867951721, ""n_state"": 364, ""ok"": true}, ""5"": {""effect"": -0.570932606228972, ""n_state"": 419, ""ok"": true}, ""6"": {""effect"": -0.5535347341223954, ""n_state"": 406, ""ok"": true}, ""7"": {""effect"": -0.47922050823725076, ""n_state"": 496, ""ok"": true}, ""8"": {""effect"": -0.4908259201209854, ""n_state"": 449, ""ok"": true}, ""9"": {""effect"": -0.5754173139975397, ""n_state"": 412, ""ok"": true}}",True
extension_reversion,body_atr,5,0.0,6,move_ge_1atr,4547,62589,-0.5741446559689941,0.2414778975148449,0.815622553483839,0.0,0.0,4455,62476,-0.5807672732187745,0.0,-1,0.0,4,"{""1"": {""effect"": -0.5441785219987794, ""n_state"": 1094, ""ok"": true}, ""2"": {""effect"": -0.5706247820545982, ""n_state"": 1073, ""ok"": true}, ""3"": {""effect"": -0.5391609054238518, ""n_state"": 1149, ""ok"": true}, ""4"": {""effect"": -0.5521328103915648, ""n_state"": 1139, ""ok"": true}}",0.5807672732187745,4455,-0.5807672732187745,2,12,"{""H1"": {""effect"": -0.5665979481727373, ""n_state"": 2167, ""ok"": true}, ""H2"": {""effect"": -0.5552747464855118, ""n_state"": 2288, ""ok"": true}}","{""1"": {""effect"": -0.5272504011481561, ""n_state"": 385, ""ok"": true}, ""10"": {""effect"": -0.5884860338707242, ""n_state"": 382, ""ok"": true}, ""11"": {""effect"": -0.5382495879809223, ""n_state"": 352, ""ok"": true}, ""12"": {""effect"": -0.5122135483648276, ""n_state"": 405, ""ok"": true}, ""2"": {""effect"": -0.5218571882143069, ""n_state"": 357, ""ok"": true}, ""3"": {""effect"": -0.5668088763997383, ""n_state"": 352, ""ok"": true}, ""4"": {""effect"": -0.5550334378309502, ""n_state"": 356, ""ok"": true}, ""5"": {""effect"": -0.5736911848047997, ""n_state"": 364, ""ok"": true}, ""6"": {""effect"": -0.5645520298370771, ""n_state"": 353, ""ok"": true}, ""7"": {""effect"": -0.5737484722577026, ""n_state"": 384, ""ok"": true}, ""8"": {""effect"": -0.5253445110350661, ""n_state"": 366, ""ok"": true}, ""9"": {""effect"": -0.5006814517204452, ""n_state"": 399, ""ok"": true}}",True
wick_rejection,upper_wick_atr,5,0.0,6,move_ge_1atr,4653,62483,-0.5533191011191666,0.2617666021921341,0.8150857033113007,0.0,0.0,4469,62462,-0.5768615001966844,0.0,-1,0.0,4,"{""1"": {""effect"": -0.49595830892182463, ""n_state"": 1167, ""ok"": true}, ""2"": {""effect"": -0.5824878097866713, ""n_state"": 1056, ""ok"": true}, ""3"": {""effect"": -0.5402532410266304, ""n_state"": 1154, ""ok"": true}, ""4"": {""effect"": -0.5763108886941266, ""n_state"": 1092, ""ok"": true}}",0.5768615001966844,4469,-0.5768615001966844,2,12,"{""H1"": {""effect"": -0.5463019713515056, ""n_state"": 2223, ""ok"": true}, ""H2"": {""effect"": -0.5674693670972508, ""n_state"": 2246, ""ok"": true}}","{""1"": {""effect"": -0.4566147965895342, ""n_state"": 429, ""ok"": true}, ""10"": {""effect"": -0.6429512652839547, ""n_state"": 357, ""ok"": true}, ""11"": {""effect"": -0.5505820429717141, ""n_state"": 340, ""ok"": true}, ""12"": {""effect"": -0.5208141247985292, ""n_state"": 395, ""ok"": true}, ""2"": {""effect"": -0.49435698589802113, ""n_state"": 365, ""ok"": true}, ""3"": {""effect"": -0.5246484208938855, ""n_state"": 373, ""ok"": true}, ""4"": {""effect"": -0.5623079143142442, ""n_state"": 354, ""ok"": true}, ""5"": {""effect"": -0.6120388984312084, ""n_state"": 351, ""ok"": true}, ""6"": {""effect"": -0.5547584509434915, ""n_state"": 351, ""ok"": true}, ""7"": {""effect"": -0.5412807983557508, ""n_state"": 408, ""ok"": true}, ""8"": {""effect"": -0.5400724321014949, ""n_state"": 359, ""ok"": true}, ""9"": {""effect"": -0.5207383523668045, ""n_state"": 387, ""ok"": true}}",True
