family,feature,quintile,hour_block,horizon_bars,outcome,n_state,n_comp,effect,state_mean,comp_mean,p,q,confirmation_n_state,confirmation_n_comp,confirmation_effect,confirmation_p,direction,confirmation_q,quarters_same_sign,quarter_details,abs_confirmation_effect,robustness_full_n,robustness_full_effect,halves_same_sign,months_same_sign,half_details,month_details,robustness_pass,state_key
abnormal_activity,tickvol_z48,5,4.0,24,mean_fwd_ret_atr,4114,48020,-0.1137616134753861,0.0697345905731964,0.1834962040485826,0.0125689497060961,0.0371254633874321,3880,48289,-0.2084214132844074,1.2494292284858012e-05,-1,6.247146142429006e-05,4,"{""1"": {""effect"": -0.21465500494789896, ""n_state"": 756, ""ok"": true}, ""2"": {""effect"": -0.0740011534470433, ""n_state"": 1089, ""ok"": true}, ""3"": {""effect"": -0.06400927308643767, ""n_state"": 1178, ""ok"": true}, ""4"": {""effect"": -0.5172462202453746, ""n_state"": 857, ""ok"": true}}",0.2084214132844074,3880,-0.2084214132844074,2,8,"{""H1"": {""effect"": -0.1341944494035259, ""n_state"": 1845, ""ok"": true}, ""H2"": {""effect"": -0.26063275133984815, ""n_state"": 2035, ""ok"": true}}","{""1"": {""effect"": -0.5177497285285642, ""n_state"": 181, ""ok"": true}, ""10"": {""effect"": -0.6251588706364004, ""n_state"": 357, ""ok"": true}, ""11"": {""effect"": 0.7733214893439943, ""n_state"": 226, ""ok"": false}, ""12"": {""effect"": -1.4248454392559278, ""n_state"": 274, ""ok"": true}, ""2"": {""effect"": -0.4090068849768953, ""n_state"": 241, ""ok"": true}, ""3"": {""effect"": 0.09514606827090985, ""n_state"": 334, ""ok"": false}, ""4"": {""effect"": -0.011381095297124166, ""n_state"": 320, ""ok"": true}, ""5"": {""effect"": 0.06542115149887237, ""n_state"": 364, ""ok"": false}, ""6"": {""effect"": -0.24618918686047686, ""n_state"": 405, ""ok"": true}, ""7"": {""effect"": -0.2983949527688177, ""n_state"": 402, ""ok"": true}, ""8"": {""effect"": -0.5382663885462244, ""n_state"": 402, ""ok"": true}, ""9"": {""effect"": 0.7003304097075569, ""n_state"": 374, ""ok"": false}}",True,tickvol_z48|Q5|H4.0|h24
compression_expansion,compression6_atr,5,4.0,12,mean_fwd_ret_atr,1260,56354,-0.1757762224973869,-0.0890816097311617,0.0866946127662252,0.0103515754107158,0.0442876794936172,1313,56233,-0.4324224829293679,7.543953640373612e-09,-1,5.2807675482615284e-08,4,"{""1"": {""effect"": -0.4025950875257752, ""n_state"": 230, ""ok"": true}, ""2"": {""effect"": -0.006503985379400792, ""n_state"": 335, ""ok"": true}, ""3"": {""effect"": -0.18430117616119324, ""n_state"": 286, ""ok"": true}, ""4"": {""effect"": -0.8902098308955597, ""n_state"": 462, ""ok"": true}}",0.4324224829293679,1313,-0.4324224829293679,2,9,"{""H1"": {""effect"": -0.16872370105205037, ""n_state"": 565, ""ok"": true}, ""H2"": {""effect"": -0.6236454096532779, ""n_state"": 748, ""ok"": true}}","{""1"": {""effect"": -0.5091793002696963, ""n_state"": 69, ""ok"": true}, ""10"": {""effect"": -1.0825154107381352, ""n_state"": 170, ""ok"": true}, ""11"": {""effect"": -0.28060448225818047, ""n_state"": 141, ""ok"": true}, ""12"": {""effect"": -1.2285402358058743, ""n_state"": 151, ""ok"": true}, ""2"": {""effect"": -0.4664932360857378, ""n_state"": 62, ""ok"": true}, ""3"": {""effect"": -0.28578573465930507, ""n_state"": 99, ""ok"": true}, ""4"": {""effect"": 0.20536461001068324, ""n_state"": 139, ""ok"": false}, ""5"": {""effect"": 0.5677639668015182, ""n_state"": 102, ""ok"": false}, ""6"": {""effect"": -0.9425199777752513, ""n_state"": 94, ""ok"": true}, ""7"": {""effect"": -0.4920189117820587, ""n_state"": 92, ""ok"": true}, ""8"": {""effect"": -0.23487512691478976, ""n_state"": 86, ""ok"": true}, ""9"": {""effect"": 0.11980147066955907, ""n_state"": 108, ""ok"": false}}",True,compression6_atr|Q5|H4.0|h12
compression_expansion,compression6_atr,4,1.0,6,mean_fwd_ret_atr,2402,58083,-0.1132435375226521,-0.0617636956282595,0.0514798418943926,0.001659171526324,0.0147530121880439,2353,58023,-0.1551406633918816,9.435160631179507e-06,-1,2.830548189353852e-05,4,"{""1"": {""effect"": -0.14192889198461384, ""n_state"": 562, ""ok"": true}, ""2"": {""effect"": -0.23643635003516175, ""n_state"": 566, ""ok"": true}, ""3"": {""effect"": -0.07306412889280109, ""n_state"": 637, ""ok"": true}, ""4"": {""effect"": -0.1600252058692607, ""n_state"": 588, ""ok"": true}}",0.1551406633918816,2353,-0.1551406633918816,2,9,"{""H1"": {""effect"": -0.19115105254316803, ""n_state"": 1128, ""ok"": true}, ""H2"": {""effect"": -0.1160103180329583, ""n_state"": 1225, ""ok"": true}}","{""1"": {""effect"": 0.20363000093108752, ""n_state"": 177, ""ok"": false}, ""10"": {""effect"": -0.030944566754663, ""n_state"": 218, ""ok"": true}, ""11"": {""effect"": -0.15668159931133915, ""n_state"": 202, ""ok"": true}, ""12"": {""effect"": -0.3277756500372482, ""n_state"": 168, ""ok"": true}, ""2"": {""effect"": -0.39391406503996984, ""n_state"": 165, ""ok"": true}, ""3"": {""effect"": -0.22874358743971135, ""n_state"": 220, ""ok"": true}, ""4"": {""effect"": 0.013284347419935234, ""n_state"": 171, ""ok"": false}, ""5"": {""effect"": -0.4951383637397718, ""n_state"": 203, ""ok"": true}, ""6"": {""effect"": -0.1810888565769882, ""n_state"": 192, ""ok"": true}, ""7"": {""effect"": -0.08770769758874122, ""n_state"": 240, ""ok"": true}, ""8"": {""effect"": -0.149426513179936, ""n_state"": 228, ""ok"": true}, ""9"": {""effect"": 0.05254917769237661, ""n_state"": 169, ""ok"": false}}",True,compression6_atr|Q4|H1.0|h6
extension_reversion,body_atr,5,4.0,24,mean_fwd_ret_atr,1370,50764,-0.2788019277604264,-0.0969564053554152,0.1818455224050112,0.0002736094106716,0.0039673364547392,1303,50866,-0.3196122105584576,5.585651219586227e-05,-1,8.378476829379341e-05,4,"{""1"": {""effect"": -0.5030740946999912, ""n_state"": 256, ""ok"": true}, ""2"": {""effect"": -0.17753472926788985, ""n_state"": 331, ""ok"": true}, ""3"": {""effect"": -0.19542959987967437, ""n_state"": 346, ""ok"": true}, ""4"": {""effect"": -0.41466200486280613, ""n_state"": 370, ""ok"": true}}",0.3196122105584576,1303,-0.3196122105584576,2,9,"{""H1"": {""effect"": -0.32141231586983887, ""n_state"": 587, ""ok"": true}, ""H2"": {""effect"": -0.3108401533486604, ""n_state"": 716, ""ok"": true}}","{""1"": {""effect"": -0.8452857191909673, ""n_state"": 80, ""ok"": true}, ""10"": {""effect"": -0.5057794196955261, ""n_state"": 145, ""ok"": true}, ""11"": {""effect"": 0.6582062906249002, ""n_state"": 136, ""ok"": false}, ""12"": {""effect"": -1.8963285827563379, ""n_state"": 89, ""ok"": true}, ""2"": {""effect"": -0.2882393919498517, ""n_state"": 76, ""ok"": true}, ""3"": {""effect"": -0.388359965285668, ""n_state"": 100, ""ok"": true}, ""4"": {""effect"": -0.2853267654667606, ""n_state"": 106, ""ok"": true}, ""5"": {""effect"": 0.006322573222244499, ""n_state"": 123, ""ok"": false}, ""6"": {""effect"": -0.2847116669363631, ""n_state"": 102, ""ok"": true}, ""7"": {""effect"": -0.3547878035862788, ""n_state"": 116, ""ok"": true}, ""8"": {""effect"": -0.8311681202927528, ""n_state"": 94, ""ok"": true}, ""9"": {""effect"": 0.3824877414345436, ""n_state"": 136, ""ok"": false}}",True,body_atr|Q5|H4.0|h24
extension_reversion,ret12_atr,5,2.0,24,mean_fwd_ret_atr,2808,49326,0.2427053727183814,0.4041520128656529,0.1614466401472715,0.0011647736187994,0.0112594783150617,2925,49244,0.3158003659647793,3.962899146239172e-06,1,1.1888697438717515e-05,4,"{""1"": {""effect"": 0.5342258377479608, ""n_state"": 817, ""ok"": true}, ""2"": {""effect"": 0.42692014992975524, ""n_state"": 621, ""ok"": true}, ""3"": {""effect"": 0.016835559707723907, ""n_state"": 740, ""ok"": true}, ""4"": {""effect"": 0.22824135501626808, ""n_state"": 747, ""ok"": true}}",0.3158003659647793,2925,0.3158003659647793,2,9,"{""H1"": {""effect"": 0.49457042620442365, ""n_state"": 1438, ""ok"": true}, ""H2"": {""effect"": 0.12483363741055237, ""n_state"": 1487, ""ok"": true}}","{""1"": {""effect"": 0.6998470038667548, ""n_state"": 251, ""ok"": true}, ""10"": {""effect"": -0.22888946849841432, ""n_state"": 301, ""ok"": false}, ""11"": {""effect"": 0.05638952856517296, ""n_state"": 233, ""ok"": true}, ""12"": {""effect"": 1.0534707965688461, ""n_state"": 213, ""ok"": true}, ""2"": {""effect"": 0.8136803851619958, ""n_state"": 254, ""ok"": true}, ""3"": {""effect"": 0.15845478255710507, ""n_state"": 312, ""ok"": true}, ""4"": {""effect"": -0.8493628169645275, ""n_state"": 180, ""ok"": false}, ""5"": {""effect"": 0.9802146775176117, ""n_state"": 222, ""ok"": true}, ""6"": {""effect"": 0.9062596725733231, ""n_state"": 219, ""ok"": true}, ""7"": {""effect"": 0.1806207542634254, ""n_state"": 277, ""ok"": true}, ""8"": {""effect"": -2.1163543547204213, ""n_state"": 200, ""ok"": false}, ""9"": {""effect"": 1.4680987844743618, ""n_state"": 263, ""ok"": true}}",True,ret12_atr|Q5|H2.0|h24
extension_reversion,body_atr,1,5.0,6,mean_fwd_ret_atr,1596,58889,0.2818283977826363,0.3213745519860229,0.0395461542033866,0.0003818953536367,0.0066831686886422,1604,58772,0.1425100943152176,0.0231189477066023,1,0.0231189477066023,4,"{""1"": {""effect"": 0.11662646813602184, ""n_state"": 366, ""ok"": true}, ""2"": {""effect"": 0.26443863049834715, ""n_state"": 421, ""ok"": true}, ""3"": {""effect"": 0.10303067553563897, ""n_state"": 404, ""ok"": true}, ""4"": {""effect"": 0.06872338960707061, ""n_state"": 413, ""ok"": true}}",0.1425100943152176,1604,0.1425100943152176,2,9,"{""H1"": {""effect"": 0.19694957280057668, ""n_state"": 787, ""ok"": true}, ""H2"": {""effect"": 0.08627700675297695, ""n_state"": 817, ""ok"": true}}","{""1"": {""effect"": 0.011138705279670681, ""n_state"": 129, ""ok"": true}, ""10"": {""effect"": 0.048598064474072895, ""n_state"": 154, ""ok"": true}, ""11"": {""effect"": -0.09815149251723616, ""n_state"": 125, ""ok"": false}, ""12"": {""effect"": 0.24657061579675277, ""n_state"": 134, ""ok"": true}, ""2"": {""effect"": 0.09476262325030538, ""n_state"": 115, ""ok"": true}, ""3"": {""effect"": 0.24735031551479542, ""n_state"": 122, ""ok"": true}, ""4"": {""effect"": 0.4034671126793559, ""n_state"": 149, ""ok"": true}, ""5"": {""effect"": 0.378183667726397, ""n_state"": 132, ""ok"": true}, ""6"": {""effect"": 0.005534465989093573, ""n_state"": 140, ""ok"": true}, ""7"": {""effect"": -0.020251661339134357, ""n_state"": 121, ""ok"": false}, ""8"": {""effect"": -0.050889378137882316, ""n_state"": 140, ""ok"": false}, ""9"": {""effect"": 0.3567849025128236, ""n_state"": 143, ""ok"": true}}",True,body_atr|Q1|H5.0|h6
range_location,dist_high24_atr,1,3.0,24,mean_fwd_ret_atr,1912,50222,-0.4487516719296381,-0.2577747850465956,0.1909768868830425,8.897069024936062e-05,0.0010009202653053,1822,50347,-0.4012447620418227,9.00946730028492e-05,-1,0.0003153313555099,3,"{""1"": {""effect"": -0.42303535881883203, ""n_state"": 552, ""ok"": true}, ""2"": {""effect"": -0.7072275179492233, ""n_state"": 386, ""ok"": true}, ""3"": {""effect"": 0.04125500843284444, ""n_state"": 426, ""ok"": false}, ""4"": {""effect"": -0.48670057462590244, ""n_state"": 458, ""ok"": true}}",0.4012447620418227,1822,-0.4012447620418227,2,8,"{""H1"": {""effect"": -0.5449958991512556, ""n_state"": 938, ""ok"": true}, ""H2"": {""effect"": -0.2341955622373935, ""n_state"": 884, ""ok"": true}}","{""1"": {""effect"": -0.5250381555606763, ""n_state"": 226, ""ok"": true}, ""10"": {""effect"": 0.226877732731601, ""n_state"": 154, ""ok"": false}, ""11"": {""effect"": -1.0752009826081068, ""n_state"": 139, ""ok"": true}, ""12"": {""effect"": -0.6489203516652866, ""n_state"": 165, ""ok"": true}, ""2"": {""effect"": 0.6492449044278391, ""n_state"": 140, ""ok"": false}, ""3"": {""effect"": -1.0982730781127181, ""n_state"": 186, ""ok"": true}, ""4"": {""effect"": -0.20742267621955424, ""n_state"": 122, ""ok"": true}, ""5"": {""effect"": -0.9548928518386322, ""n_state"": 155, ""ok"": true}, ""6"": {""effect"": -0.9023893788832555, ""n_state"": 109, ""ok"": true}, ""7"": {""effect"": 0.6216335129104368, ""n_state"": 144, ""ok"": false}, ""8"": {""effect"": 0.18431958325540698, ""n_state"": 121, ""ok"": false}, ""9"": {""effect"": -0.5862063630596812, ""n_state"": 161, ""ok"": true}}",True,dist_high24_atr|Q1|H3.0|h24
range_location,dist_low24_atr,2,4.0,3,mean_fwd_ret_atr,1479,60464,-0.0678500846984402,-0.0360238529614289,0.0318262317370112,0.0152631645329246,0.0248026423660025,1397,60424,-0.1026272776068527,0.0014989885838847,-1,0.0044969657516541,4,"{""1"": {""effect"": -0.10008925862047757, ""n_state"": 335, ""ok"": true}, ""2"": {""effect"": -0.15643636850515347, ""n_state"": 322, ""ok"": true}, ""3"": {""effect"": -0.02745603187419087, ""n_state"": 354, ""ok"": true}, ""4"": {""effect"": -0.12254850952144525, ""n_state"": 386, ""ok"": true}}",0.1026272776068527,1397,-0.1026272776068527,2,10,"{""H1"": {""effect"": -0.12839395098613918, ""n_state"": 657, ""ok"": true}, ""H2"": {""effect"": -0.07751180320138368, ""n_state"": 740, ""ok"": true}}","{""1"": {""effect"": -0.11226702869526481, ""n_state"": 105, ""ok"": true}, ""10"": {""effect"": -0.04147186705002604, ""n_state"": 144, ""ok"": true}, ""11"": {""effect"": -0.029950488505106267, ""n_state"": 120, ""ok"": true}, ""12"": {""effect"": -0.30768299309961267, ""n_state"": 122, ""ok"": true}, ""2"": {""effect"": -0.012175627030925423, ""n_state"": 106, ""ok"": true}, ""3"": {""effect"": -0.16397234023251253, ""n_state"": 124, ""ok"": true}, ""4"": {""effect"": -0.08933884079855609, ""n_state"": 104, ""ok"": true}, ""5"": {""effect"": -0.227666580077585, ""n_state"": 125, ""ok"": true}, ""6"": {""effect"": -0.13389767922747003, ""n_state"": 93, ""ok"": true}, ""7"": {""effect"": -0.1921486331205533, ""n_state"": 154, ""ok"": true}, ""8"": {""effect"": 0.03705578016440973, ""n_state"": 123, ""ok"": false}, ""9"": {""effect"": 0.19900896805975954, ""n_state"": 77, ""ok"": false}}",True,dist_low24_atr|Q2|H4.0|h3
range_location,dist_high24_atr,5,5.0,24,mean_fwd_ret_atr,1049,51085,0.3741861125232918,0.5411760728561674,0.1669899603328756,0.0046763932582022,0.0175364747182583,1054,51115,0.4468774992034089,4.9675217413124736e-05,1,0.0003153313555099,3,"{""1"": {""effect"": 0.1989275716739896, ""n_state"": 270, ""ok"": true}, ""2"": {""effect"": 0.9241524474791456, ""n_state"": 281, ""ok"": true}, ""3"": {""effect"": 0.6725385991573475, ""n_state"": 262, ""ok"": true}, ""4"": {""effect"": -0.10649989306256336, ""n_state"": 241, ""ok"": false}}",0.4468774992034089,1054,0.4468774992034089,2,8,"{""H1"": {""effect"": 0.5717750011852911, ""n_state"": 551, ""ok"": true}, ""H2"": {""effect"": 0.30065686959407234, ""n_state"": 503, ""ok"": true}}","{""1"": {""effect"": -0.19910368425910865, ""n_state"": 126, ""ok"": false}, ""10"": {""effect"": 0.4932089913360349, ""n_state"": 94, ""ok"": true}, ""11"": {""effect"": -0.8407457187794548, ""n_state"": 88, ""ok"": false}, ""12"": {""effect"": 0.03452731928325192, ""n_state"": 59, ""ok"": true}, ""2"": {""effect"": -0.5314633743310446, ""n_state"": 64, ""ok"": false}, ""3"": {""effect"": 1.4075442939246967, ""n_state"": 80, ""ok"": true}, ""4"": {""effect"": 1.165234078311655, ""n_state"": 121, ""ok"": true}, ""5"": {""effect"": 1.3264284186959485, ""n_state"": 76, ""ok"": true}, ""6"": {""effect"": 0.20223120396712227, ""n_state"": 84, ""ok"": true}, ""7"": {""effect"": 1.1513693310327304, ""n_state"": 84, ""ok"": true}, ""8"": {""effect"": 1.6198682905666941, ""n_state"": 94, ""ok"": true}, ""9"": {""effect"": -0.8732199406877037, ""n_state"": 84, ""ok"": false}}",True,dist_high24_atr|Q5|H5.0|h24
range_location,dist_low24_atr,1,5.0,3,mean_fwd_ret_atr,2144,59799,0.2488782673353645,0.2704701662109384,0.0215918988755738,0.0001262908298702,0.0016417807883132,2016,59805,0.1490532996860457,0.0211022815408345,1,0.0211022815408345,3,"{""1"": {""effect"": 0.22548870472611018, ""n_state"": 510, ""ok"": true}, ""2"": {""effect"": -0.08874891573432007, ""n_state"": 441, ""ok"": false}, ""3"": {""effect"": 0.2849285882883613, ""n_state"": 621, ""ok"": true}, ""4"": {""effect"": 0.09150770856943116, ""n_state"": 444, ""ok"": true}}",0.1490532996860457,2016,0.1490532996860457,2,9,"{""H1"": {""effect"": 0.08030095756670572, ""n_state"": 951, ""ok"": true}, ""H2"": {""effect"": 0.20589523575458335, ""n_state"": 1065, ""ok"": true}}","{""1"": {""effect"": 0.20690704329855017, ""n_state"": 212, ""ok"": true}, ""10"": {""effect"": 0.17400132281114503, ""n_state"": 115, ""ok"": true}, ""11"": {""effect"": 0.03630884854439724, ""n_state"": 167, ""ok"": true}, ""12"": {""effect"": 0.08861179781862549, ""n_state"": 162, ""ok"": true}, ""2"": {""effect"": 0.22888495270291767, ""n_state"": 141, ""ok"": true}, ""3"": {""effect"": 0.24353246208958873, ""n_state"": 157, ""ok"": true}, ""4"": {""effect"": 0.10195091966090072, ""n_state"": 113, ""ok"": true}, ""5"": {""effect"": -0.028324567302317204, ""n_state"": 133, ""ok"": false}, ""6"": {""effect"": -0.23972751014487811, ""n_state"": 195, ""ok"": false}, ""7"": {""effect"": 0.13540006302398236, ""n_state"": 195, ""ok"": true}, ""8"": {""effect"": 0.6604383758301069, ""n_state"": 236, ""ok"": true}, ""9"": {""effect"": -0.03391962113769652, ""n_state"": 190, ""ok"": false}}",True,dist_low24_atr|Q1|H5.0|h3
