interval_id,target_symbol,currency,research_profile,mask_start_server_epoch,mask_end_server_epoch,source_event_ids
1,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1767375600,1767376200,278361
2,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1767635700,1767636300,283011;283017
3,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1767721200,1767721800,278884
4,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1767802200,1767802800,274869
5,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1767808500,1767809100,279355;237155;237222
6,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1767810300,1767810900,274881
7,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1767889500,1767890100,277883
8,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1767975900,1767976500,277603;277615;277639
9,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1768251300,1768251900,264298
10,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1768321500,1768322100,277483;277495;277507;277787;277799
11,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1768326900,1768327500,221060;280736
12,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1768337700,1768338300,264301
13,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1768407900,1768408500,280738;280739;279347
14,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1768415100,1768415700,275611
15,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1768494300,1768494900,287207;277884
16,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1769099100,1769099700,276829;276835;277885
17,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1769104500,1769105100,283931;283933
18,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1769111700,1769112300,280097
19,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1769444700,1769445300,280741
20,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1769536500,1769537100,279662
21,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1769624700,1769625300,276912
22,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1769637300,1769637900,237380
23,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1769639100,1769639700,237388
24,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1769703900,1769704500,277886
25,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1769790300,1769790900,279642
26,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1769794800,1769795400,277823
27,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1770054900,1770055500,283012;283018
28,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1770221400,1770222000,274870
29,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1770227700,1770228300,283023;283053
30,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1770229500,1770230100,278542
31,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1770308700,1770309300,282047
32,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1770314100,1770314700,286638
33,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1770740700,1770741300,285382;285383
34,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1770827100,1770827700,286632;286633;286635
35,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1770834300,1770834900,279441
36,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1770843300,1770843900,275129
37,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1770913500,1770914100,282048
38,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1770918900,1770919500,287279
39,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1770929700,1770930300,275132
40,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1770999900,1771000500,286626;286627;286628;286645;286646
41,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1771431900,1771432500,285385
42,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1771518300,1771518900,287208;282049
43,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1771530900,1771531500,280188
44,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1771604700,1771605300,283932;283934;287124;287195
45,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1771610100,1771610700,285378;285379
46,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1771955700,1771956300,279663
47,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1772043900,1772044500,280883
48,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1772123100,1772123700,282050
49,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1772209500,1772210100,283834
50,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1772214000,1772214600,281938
51,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1772473200,1772473800,289075
52,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1772474100,1772474700,283013;283019
53,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1772640600,1772641200,274871
54,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1772646000,1772646600,289076
55,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1772646900,1772647500,283024;283054
56,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1772648700,1772649300,283127
57,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1772727900,1772728500,286181
58,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1772814300,1772814900,290255;290256;277605;277617;277641
59,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1773161700,1773162300,287280
60,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1773242700,1773243300,277485;277497;277509;277789;277801
61,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1773249900,1773250500,283945
62,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1773258900,1773259500,275130
63,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1773329100,1773329700,286182
64,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1773345300,1773345900,275133
65,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1773415500,1773416100,284095;284097;287125;287196;290258
66,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1773420900,1773421500,288746
67,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1773847500,1773848100,288619
68,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1773854700,1773855300,284797
69,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1773867300,1773867900,237381
70,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1773869100,1773869700,237389
71,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1773933900,1773934500,287209;286183
72,XAUUSD,USD,PHASE_IF_USD_HIGH_IMPACT_PM5,1773939300,1773939900,290253
