candidate_id,filter,hold_hours,n,mean_acr,std_acr,t_stat,p,bh_q,gate_enough_n,gate_positive,gate_fdr,replication_pass
R14-6051DD94BF19,0.005,1,5510,0.000796028463599737,0.01411128021539842,4.187337635420661,2.8224579639503106e-05,4.838499366771961e-05,True,True,True,True
R14-38A381A3F0C6,0.005,2,5502,0.0013152355930124567,0.01857841187414241,5.251160100917336,1.5114423305889308e-07,2.013222010337145e-06,True,True,True,True
R14-26EF0F7913F6,0.005,3,5491,0.0015265621654884521,0.02179362997031535,5.190517308535746,2.0971062607678593e-07,2.013222010337145e-06,True,True,True,True
R14-268D6D630475,0.005,4,5487,0.0013587516174316488,0.024714861995974127,4.072390019319115,4.653317428579135e-05,7.205136663606403e-05,True,True,True,True
R14-8455D657799C,0.005,5,5483,0.001533273280703673,0.02785108211798188,4.076492209980992,4.572018650095435e-05,7.205136663606403e-05,True,True,True,True
R14-9B19CEDC96E6,0.005,6,5480,0.0016960544391194017,0.02991752537470012,4.196665929538563,2.708730276146769e-05,4.8155204909275897e-05,True,True,True,True
R14-9A6626379FEF,0.005,12,5444,0.0015419231509647,0.0398349502734467,2.8559954290952065,0.004290213105292468,0.004476744109870401,True,True,True,True
R14-333881AFEBCE,0.005,24,5376,0.0016125730436843653,0.057235554903280035,2.0657755267868843,0.038849679962681696,0.0396762688980579,True,True,True,True
R14-8A1D14D916F6,0.01,1,2532,0.0011381324843350582,0.017573130685580935,3.2589337431372227,0.0011183178225405866,0.0012558004802108507,True,True,True,True
R14-DACE1349C2BE,0.01,2,2526,0.0021399310257473273,0.022482134875667154,4.783864825525808,1.7195634784438564e-06,5.50260313102034e-06,True,True,True,True
R14-DB85629779C2,0.01,3,2520,0.0027961854957842328,0.026351768667689457,5.326678434223274,1.0002501578318953e-07,2.013222010337145e-06,True,True,True,True
R14-4EC509E8AD2F,0.01,4,2518,0.0028167138037525716,0.029368216481809914,4.81274678070017,1.4886986789547367e-06,5.50260313102034e-06,True,True,True,True
R14-3B187E3272A6,0.01,5,2517,0.002576037478906064,0.03334321980926918,3.8760221448819405,0.00010617802505455675,0.00014561557721767782,True,True,True,True
R14-6E3CD5716E16,0.01,6,2515,0.0031143370312396146,0.034827009940217105,4.484545292669714,7.3069584688898126e-06,1.6701619357462427e-05,True,True,True,True
R14-DCBE28EA7544,0.01,12,2496,0.002596413441333488,0.04541738686770364,2.8561038602020585,0.004288748165893187,0.004476744109870401,True,True,True,True
