date_ny,ts_1130_utc,p_1130_raw,ts_1200_utc,p_1200_raw,ts_1530_utc,p_1530_raw,ts_1600_utc,p_1600_raw,date_ts,r5,r13,simple_last_half
2004-11-08,2004-11-08T16:30:00+00:00,432330,2004-11-08T17:00:00+00:00,431959,2004-11-08T20:30:00+00:00,431883,2004-11-08T21:00:00+00:00,431650,2004-11-08 00:00:00+00:00,-0.0008585091856699243,-0.0005396435472747888,-0.0005394979658842614
2004-11-09,2004-11-09T16:30:00+00:00,435180,2004-11-09T17:00:00+00:00,434684,2004-11-09T20:30:00+00:00,435087,2004-11-09T21:00:00+00:00,434580,2004-11-09 00:00:00+00:00,-0.0011404082793523458,-0.0011659636560606972,-0.0011652841845424255
2004-11-10,2004-11-10T16:30:00+00:00,434488,2004-11-10T17:00:00+00:00,434517,2004-11-10T20:30:00+00:00,433378,2004-11-10T21:00:00+00:00,433339,2004-11-10 00:00:00+00:00,6.674299920194317e-05,-8.999477344118724e-05,-8.999072403303998e-05
2004-11-11,2004-11-11T16:30:00+00:00,433917,2004-11-11T17:00:00+00:00,434043,2004-11-11T20:30:00+00:00,434394,2004-11-11T21:00:00+00:00,434128,2004-11-11 00:00:00+00:00,0.00029033596222209613,-0.0006125348772211312,-0.0006123473160311033
2004-11-12,2004-11-12T16:30:00+00:00,437785,2004-11-12T17:00:00+00:00,437366,2004-11-12T20:30:00+00:00,437397,2004-11-12T21:00:00+00:00,437401,2004-11-12 00:00:00+00:00,-0.000957549113273204,9.144968324249271e-06,9.145010139599563e-06
2004-11-15,2004-11-15T16:30:00+00:00,435582,2004-11-15T17:00:00+00:00,435552,2004-11-15T20:30:00+00:00,436397,2004-11-15T21:00:00+00:00,436131,2004-11-15 00:00:00+00:00,-6.88757413023762e-05,-0.0006097225722056793,-0.0006095367291709675
2004-11-16,2004-11-16T16:30:00+00:00,439445,2004-11-16T17:00:00+00:00,438872,2004-11-16T20:30:00+00:00,438620,2004-11-16T21:00:00+00:00,438552,2004-11-16 00:00:00+00:00,-0.0013047682813621725,-0.00015504370895609576,-0.0001550316903013993
2004-11-17,2004-11-17T16:30:00+00:00,443334,2004-11-17T17:00:00+00:00,443999,2004-11-17T20:30:00+00:00,443790,2004-11-17T21:00:00+00:00,444056,2004-11-17 00:00:00+00:00,0.0014988738714786537,0.0005992030328655992,0.0005993825908650052
2004-11-18,2004-11-18T16:30:00+00:00,441032,2004-11-18T17:00:00+00:00,441009,2004-11-18T20:30:00+00:00,442620,2004-11-18T21:00:00+00:00,442634,2004-11-18 00:00:00+00:00,-5.2151770734445344e-05,3.1629340282349314e-05,3.162984049520645e-05
2004-11-19,2004-11-19T16:30:00+00:00,446325,2004-11-19T17:00:00+00:00,446738,2004-11-19T20:30:00+00:00,446414,2004-11-19T21:00:00+00:00,446432,2004-11-19 00:00:00+00:00,0.0009249068194334087,4.032050320536229e-05,4.032131608777689e-05
2004-11-22,2004-11-22T16:30:00+00:00,447123,2004-11-22T17:00:00+00:00,447413,2004-11-22T20:30:00+00:00,448042,2004-11-22T21:00:00+00:00,447876,2004-11-22 00:00:00+00:00,0.0006483808592601868,-0.00037056963226457897,-0.000370500979818833
2004-11-23,2004-11-23T16:30:00+00:00,447859,2004-11-23T17:00:00+00:00,447491,2004-11-23T20:30:00+00:00,446935,2004-11-23T21:00:00+00:00,446851,2004-11-23 00:00:00+00:00,-0.0008220249527497598,-0.0001879644573696634,-0.0001879467931578116
2004-11-24,2004-11-24T16:30:00+00:00,447681,2004-11-24T17:00:00+00:00,448067,2004-11-24T20:30:00+00:00,449312,2004-11-24T21:00:00+00:00,449135,2004-11-24 00:00:00+00:00,0.0008618495913872129,-0.00039401323014021973,-0.0003939356171213104
2004-11-25,2004-11-25T16:30:00+00:00,450355,2004-11-25T17:00:00+00:00,450874,2004-11-25T20:30:00+00:00,450746,2004-11-25T21:00:00+00:00,451069,2004-11-25 00:00:00+00:00,0.0011517606676514681,0.0007163332031777804,0.0007165898310801389
