year,cell,signal_time,entry_time,exit_time,entry_open,exit_open,direction,profiles
2024,FN_SIGNAL__DUKA_EXECUTION,2024-01-12T00:00:00+00:00,2024-01-12T00:05:00+00:00,2024-01-12T09:00:00+00:00,2028.695,2035.145,1,"{'E1': {'gross': 6.4500000000000455, 'spread': 0.406384, 'slippage': 0.406384, 'commission': 0.02844687097, 'net': 5.6087851290300454, 'entry_model': 2029.100739, 'exit_model': 2034.737971}, 'STRESS': {'gross': 6.4500000000000455, 'spread': 1.01596, 'slippage': 0.812768, 'commission': 0.056893719365, 'net': 4.5643782806350455, 'entry_model': 2029.60791275, 'exit_model': 2034.22918475}}"
2024,FN_SIGNAL__DUKA_EXECUTION,2024-01-19T00:00:00+00:00,2024-01-19T00:05:00+00:00,2024-01-19T09:00:00+00:00,2022.835,2023.685,1,"{'E1': {'gross': 0.849999999999909, 'spread': 0.404652, 'slippage': 0.404652, 'commission': 0.02832563881, 'net': 0.012370361189909026, 'entry_model': 2023.239567, 'exit_model': 2023.2802629999999}, 'STRESS': {'gross': 0.849999999999909, 'spread': 1.01163, 'slippage': 0.809304, 'commission': 0.056651274645, 'net': -1.027585274645091, 'entry_model': 2023.7452757500002, 'exit_model': 2022.77434175}}"
2024,FN_SIGNAL__DUKA_EXECUTION,2024-01-23T00:00:00+00:00,2024-01-23T00:05:00+00:00,2024-01-23T09:00:00+00:00,2021.105,2035.035,1,"{'E1': {'gross': 13.930000000000064, 'spread': 0.40561400000000003, 'slippage': 0.40561400000000003, 'commission': 0.028392960498, 'net': 13.090379039502064, 'entry_model': 2021.509221, 'exit_model': 2034.627993}, 'STRESS': {'gross': 13.930000000000064, 'spread': 1.014035, 'slippage': 0.8112280000000001, 'commission': 0.056785872241, 'net': 12.047951127759063, 'entry_model': 2022.0144972500002, 'exit_model': 2034.11923425}}"
2024,FN_SIGNAL__DUKA_EXECUTION,2024-01-29T00:00:00+00:00,2024-01-29T02:00:00+00:00,2024-01-29T09:00:00+00:00,2021.855,2028.745,1,"{'E1': {'gross': 6.889999999999873, 'spread': 0.40506000000000003, 'slippage': 0.40506000000000003, 'commission': 0.028354190353999997, 'net': 6.051525809645873, 'entry_model': 2022.2593709999999, 'exit_model': 2028.3392509999999}, 'STRESS': {'gross': 6.889999999999873, 'spread': 1.01265, 'slippage': 0.8101200000000001, 'commission': 0.056708356593000005, 'net': 5.0105216434068724, 'entry_model': 2022.76483475, 'exit_model': 2027.83206475}}"
2024,FN_SIGNAL__DUKA_EXECUTION,2024-02-06T00:00:00+00:00,2024-02-06T00:05:00+00:00,2024-02-06T09:00:00+00:00,2025.005,2026.514,1,"{'E1': {'gross': 1.5089999999997872, 'spread': 0.40515190000000006, 'slippage': 0.40515190000000006, 'commission': 0.0283606308874, 'net': 0.6703355691123869, 'entry_model': 2025.410001, 'exit_model': 2026.1086972}, 'STRESS': {'gross': 1.5089999999997872, 'spread': 1.0128797500000002, 'slippage': 0.8103038000000001, 'commission': 0.0567212564933, 'net': -0.37090480649351315, 'entry_model': 2025.9162522500003, 'exit_model': 2025.6020687}}"
2024,FN_SIGNAL__DUKA_EXECUTION,2024-02-15T00:00:00+00:00,2024-02-15T00:05:00+00:00,2024-02-15T09:00:00+00:00,1992.105,1993.095,1,"{'E1': {'gross': 0.9900000000000091, 'spread': 0.39852, 'slippage': 0.39852, 'commission': 0.027896398614, 'net': 0.16506360138600912, 'entry_model': 1992.503421, 'exit_model': 1992.696381}, 'STRESS': {'gross': 0.9900000000000091, 'spread': 0.9963, 'slippage': 0.79704, 'commission': 0.055792793763, 'net': -0.8591327937629908, 'entry_model': 1993.0014472500002, 'exit_model': 1992.19810725}}"
2024,FN_SIGNAL__DUKA_EXECUTION,2024-02-16T00:00:00+00:00,2024-02-16T00:05:00+00:00,2024-02-16T09:00:00+00:00,2004.105,2003.645,1,"{'E1': {'gross': -0.4600000000000364, 'spread': 0.400775, 'slippage': 0.400775, 'commission': 0.028054250644000002, 'net': -1.2896042506440364, 'entry_model': 2004.505821, 'exit_model': 2003.244271}, 'STRESS': {'gross': -0.4600000000000364, 'spread': 1.0019375, 'slippage': 0.80155, 'commission': 0.056108502898, 'net': -2.3195960028980367, 'entry_model': 2005.0068472500002, 'exit_model': 2002.74335975}}"
2024,FN_SIGNAL__DUKA_EXECUTION,2024-02-19T00:00:00+00:00,2024-02-19T02:00:00+00:00,2024-02-19T09:00:00+00:00,2013.644,2021.355,1,"{'E1': {'gross': 7.711000000000013, 'spread': 0.4034999, 'slippage': 0.4034999, 'commission': 0.028244982204600002, 'net': 6.875755217795413, 'entry_model': 2014.0467288, 'exit_model': 2020.9507290000001}, 'STRESS': {'gross': 7.711000000000013, 'spread': 1.00874975, 'slippage': 0.8069998, 'commission': 0.05648993742070001, 'net': 5.838760512579313, 'entry_model': 2014.5501398000001, 'exit_model': 2020.4453902500002}}"
2024,FN_SIGNAL__DUKA_EXECUTION,2024-02-20T00:00:00+00:00,2024-02-20T00:05:00+00:00,2024-02-20T09:00:00+00:00,2017.775,2019.425,1,"{'E1': {'gross': 1.6499999999998636, 'spread': 0.40372, 'slippage': 0.40372, 'commission': 0.028260397689999998, 'net': 0.8142996023098634, 'entry_model': 2018.178555, 'exit_model': 2019.021115}, 'STRESS': {'gross': 1.6499999999998636, 'spread': 1.0093, 'slippage': 0.80744, 'commission': 0.056520789605, 'net': -0.22326078960513657, 'entry_model': 2018.6829987500003, 'exit_model': 2018.5162587500001}}"
2024,FN_SIGNAL__DUKA_EXECUTION,2024-02-23T00:00:00+00:00,2024-02-23T00:05:00+00:00,2024-02-23T09:00:00+00:00,2024.514,2020.785,1,"{'E1': {'gross': -3.7289999999998145, 'spread': 0.4045299, 'slippage': 0.4045299, 'commission': 0.0283170982206, 'net': -4.5663768982204145, 'entry_model': 2024.9189027999998, 'exit_model': 2020.3808430000001}, 'STRESS': {'gross': -3.7289999999998145, 'spread': 1.01132475, 'slippage': 0.8090598, 'commission': 0.0566342094927, 'net': -5.606018759492515, 'entry_model': 2025.4250313, 'exit_model': 2019.8756467500002}}"
2024,FN_SIGNAL__DUKA_EXECUTION,2024-02-29T00:00:00+00:00,2024-02-29T00:05:00+00:00,2024-02-29T09:00:00+00:00,2034.085,2036.695,1,"{'E1': {'gross': 2.6099999999999, 'spread': 0.407078, 'slippage': 0.407078, 'commission': 0.028495456346000002, 'net': 1.7673485436539, 'entry_model': 2034.491817, 'exit_model': 2036.287661}, 'STRESS': {'gross': 2.6099999999999, 'spread': 1.017695, 'slippage': 0.814156, 'commission': 0.056990903557000004, 'net': 0.7211580964429, 'entry_model': 2035.0003382500001, 'exit_model': 2035.7784872500001}}"
2024,FN_SIGNAL__DUKA_EXECUTION,2024-03-01T00:00:00+00:00,2024-03-01T00:05:00+00:00,2024-03-01T09:00:00+00:00,2043.855,2046.618,1,"{'E1': {'gross': 2.76299999999992, 'spread': 0.4090473, 'slippage': 0.4090473, 'commission': 0.028633307131799998, 'net': 1.9162720928681198, 'entry_model': 2044.263771, 'exit_model': 2046.2086764}, 'STRESS': {'gross': 2.76299999999992, 'spread': 1.02261825, 'slippage': 0.8180946, 'commission': 0.057266604593100005, 'net': 0.8650205454068199, 'entry_model': 2044.77473475, 'exit_model': 2045.6970219}}"
2024,FN_SIGNAL__DUKA_EXECUTION,2024-03-04T00:00:00+00:00,2024-03-04T02:00:00+00:00,2024-03-04T09:00:00+00:00,2083.445,2083.428,1,"{'E1': {'gross': -0.017000000000280124, 'spread': 0.4166873, 'slippage': 0.4166873, 'commission': 0.0291681110238, 'net': -0.8795427110240801, 'entry_model': 2083.8616890000003, 'exit_model': 2083.0113143999997}, 'STRESS': {'gross': -0.017000000000280124, 'spread': 1.04171825, 'slippage': 0.8333746, 'commission': 0.05833622210710001, 'net': -1.95042907210738, 'entry_model': 2084.3825502500003, 'exit_model': 2082.4904574}}"
2024,FN_SIGNAL__DUKA_EXECUTION,2024-03-05T00:00:00+00:00,2024-03-05T00:05:00+00:00,2024-03-05T09:00:00+00:00,2114.295,2117.255,1,"{'E1': {'gross': 2.9600000000000364, 'spread': 0.42315500000000006, 'slippage': 0.42315500000000006, 'commission': 0.029620845856, 'net': 2.0840691541440366, 'entry_model': 2114.717859, 'exit_model': 2116.831549}, 'STRESS': {'gross': 2.9600000000000364, 'spread': 1.0578875, 'slippage': 0.8463100000000001, 'commission': 0.059241681352, 'net': 0.9965608186480361, 'entry_model': 2115.24643275, 'exit_model': 2116.30223525}}"
2024,FN_SIGNAL__DUKA_EXECUTION,2024-03-06T00:00:00+00:00,2024-03-06T00:05:00+00:00,2024-03-06T09:00:00+00:00,2127.755,2127.205,1,"{'E1': {'gross': -0.5500000000001819, 'spread': 0.42549600000000004, 'slippage': 0.42549600000000004, 'commission': 0.02978472077, 'net': -1.430776720770182, 'entry_model': 2128.180551, 'exit_model': 2126.779559}, 'STRESS': {'gross': -0.5500000000001819, 'spread': 1.0637400000000001, 'slippage': 0.8509920000000001, 'commission': 0.059569443465000003, 'net': -2.5243014434651823, 'entry_model': 2128.7124897500003, 'exit_model': 2126.24775775}}"
2024,FN_SIGNAL__DUKA_EXECUTION,2024-03-07T00:00:00+00:00,2024-03-07T00:05:00+00:00,2024-03-07T09:00:00+00:00,2147.975,2155.325,1,"{'E1': {'gross': 7.349999999999909, 'spread': 0.43032999999999993, 'slippage': 0.43032999999999993, 'commission': 0.03012308971, 'net': 6.45921691028991, 'entry_model': 2148.404595, 'exit_model': 2154.893935}, 'STRESS': {'gross': 7.349999999999909, 'spread': 1.0758249999999998, 'slippage': 0.8606599999999999, 'commission': 0.060246153695, 'net': 5.353268846304909, 'entry_model': 2148.94158875, 'exit_model': 2154.35510375}}"
2024,FN_SIGNAL__DUKA_EXECUTION,2024-03-08T00:00:00+00:00,2024-03-08T00:05:00+00:00,2024-03-08T09:00:00+00:00,2159.715,2161.115,1,"{'E1': {'gross': 1.3999999999996362, 'spread': 0.432083, 'slippage': 0.432083, 'commission': 0.03024580804, 'net': 0.5055881919596362, 'entry_model': 2160.146943, 'exit_model': 2160.682777}, 'STRESS': {'gross': 1.3999999999996362, 'spread': 1.0802075, 'slippage': 0.864166, 'commission': 0.060491611179999995, 'net': -0.6048651111803638, 'entry_model': 2160.68687175, 'exit_model': 2160.14249825}}"
2024,FN_SIGNAL__DUKA_EXECUTION,2024-03-13T00:00:00+00:00,2024-03-13T00:05:00+00:00,2024-03-13T09:00:00+00:00,2158.045,2159.935,1,"{'E1': {'gross': 1.8899999999998727, 'spread': 0.43179799999999996, 'slippage': 0.43179799999999996, 'commission': 0.030225857353999998, 'net': 0.9961781426458729, 'entry_model': 2158.476609, 'exit_model': 2159.503013}, 'STRESS': {'gross': 1.8899999999998727, 'spread': 1.0794949999999999, 'slippage': 0.8635959999999999, 'commission': 0.06045170809300001, 'net': -0.11354270809312714, 'entry_model': 2159.0161202500003, 'exit_model': 2158.96302925}}"
2024,FN_SIGNAL__DUKA_EXECUTION,2024-03-20T00:00:00+00:00,2024-03-20T00:05:00+00:00,2024-03-20T09:00:00+00:00,2156.995,2157.335,1,"{'E1': {'gross': 0.3400000000001455, 'spread': 0.431433, 'slippage': 0.431433, 'commission': 0.030200309524000005, 'net': -0.5530663095238545, 'entry_model': 2157.426399, 'exit_model': 2156.903533}, 'STRESS': {'gross': 0.3400000000001455, 'spread': 1.0785825, 'slippage': 0.862866, 'commission': 0.06040061785800001, 'net': -1.6618491178578545, 'entry_model': 2157.9656477500002, 'exit_model': 2156.36419925}}"
2024,FN_SIGNAL__DUKA_EXECUTION,2024-03-27T00:00:00+00:00,2024-03-27T00:05:00+00:00,2024-03-27T09:00:00+00:00,2178.515,2176.885,1,"{'E1': {'gross': -1.6299999999996544, 'spread': 0.43554, 'slippage': 0.43554, 'commission': 0.030487802282000005, 'net': -2.5315678022816543, 'entry_model': 2178.950703, 'exit_model': 2176.4496230000004}, 'STRESS': {'gross': -1.6299999999996544, 'spread': 1.0888499999999999, 'slippage': 0.87108, 'commission': 0.06097561026900001, 'net': -3.6509056102686546, 'entry_model': 2179.49533175, 'exit_model': 2175.9054017500002}}"
2024,FN_SIGNAL__DUKA_EXECUTION,2024-03-28T00:00:00+00:00,2024-03-28T00:05:00+00:00,2024-03-28T09:00:00+00:00,2194.335,2197.125,1,"{'E1': {'gross': 2.7899999999999636, 'spread': 0.43914600000000004, 'slippage': 0.43914600000000004, 'commission': 0.030740216093999996, 'net': 1.8809677839059635, 'entry_model': 2194.773867, 'exit_model': 2196.685575}, 'STRESS': {'gross': 2.7899999999999636, 'spread': 1.097865, 'slippage': 0.8782920000000001, 'commission': 0.06148042242300001, 'net': 0.7523625775769635, 'entry_model': 2195.3224507500004, 'exit_model': 2196.1362937500003}}"
2024,FN_SIGNAL__DUKA_EXECUTION,2024-04-01T00:00:00+00:00,2024-04-01T03:00:00+00:00,2024-04-01T09:00:00+00:00,2245.935,2261.495,1,"{'E1': {'gross': 15.559999999999945, 'spread': 0.45074300000000006, 'slippage': 0.45074300000000006, 'commission': 0.031551988216, 'net': 14.626962011783947, 'entry_model': 2246.384187, 'exit_model': 2261.042701}, 'STRESS': {'gross': 15.559999999999945, 'spread': 1.1268575, 'slippage': 0.9014860000000001, 'commission': 0.063103921972, 'net': 13.468552578027944, 'entry_model': 2246.94567075, 'exit_model': 2260.47732725}}"
2024,FN_SIGNAL__DUKA_EXECUTION,2024-04-02T00:00:00+00:00,2024-04-02T00:05:00+00:00,2024-04-02T09:00:00+00:00,2251.585,2253.525,1,"{'E1': {'gross': 1.9400000000000546, 'spread': 0.4505110000000001, 'slippage': 0.4505110000000001, 'commission': 0.031535767284, 'net': 1.0074422327160544, 'entry_model': 2252.035317, 'exit_model': 2253.0742950000003}, 'STRESS': {'gross': 1.9400000000000546, 'spread': 1.1262775000000003, 'slippage': 0.9010220000000002, 'commission': 0.06307152777800001, 'net': -0.15037102777794592, 'entry_model': 2252.5982132500003, 'exit_model': 2252.5109137500003}}"
2024,FN_SIGNAL__DUKA_EXECUTION,2024-04-03T00:00:00+00:00,2024-04-03T00:05:00+00:00,2024-04-03T09:00:00+00:00,2280.145,2285.875,1,"{'E1': {'gross': 5.730000000000018, 'spread': 0.45660200000000006, 'slippage': 0.45660200000000006, 'commission': 0.031962131978, 'net': 4.784833868022018, 'entry_model': 2280.601029, 'exit_model': 2285.417825}, 'STRESS': {'gross': 5.730000000000018, 'spread': 1.1415050000000002, 'slippage': 0.9132040000000001, 'commission': 0.063924243901, 'net': 3.6113667560990175, 'entry_model': 2281.17106525, 'exit_model': 2284.84635625}}"
2024,FN_SIGNAL__DUKA_EXECUTION,2024-04-05T00:00:00+00:00,2024-04-05T00:05:00+00:00,2024-04-05T09:00:00+00:00,2290.605,2279.685,1,"{'E1': {'gross': -10.920000000000073, 'spread': 0.457029, 'slippage': 0.457029, 'commission': 0.031992045287999996, 'net': -11.866050045288073, 'entry_model': 2291.063121, 'exit_model': 2279.2290629999998}, 'STRESS': {'gross': -10.920000000000073, 'spread': 1.1425725, 'slippage': 0.914058, 'commission': 0.063984128796, 'net': -13.040614628796073, 'entry_model': 2291.63577225, 'exit_model': 2278.65914175}}"
2024,FN_SIGNAL__DUKA_EXECUTION,2024-04-08T00:00:00+00:00,2024-04-08T03:00:00+00:00,2024-04-08T09:00:00+00:00,2311.195,2334.675,1,"{'E1': {'gross': 23.480000000000018, 'spread': 0.4645870000000001, 'slippage': 0.4645870000000001, 'commission': 0.032521057128000005, 'net': 22.518304942872014, 'entry_model': 2311.657239, 'exit_model': 2334.2080650000003}, 'STRESS': {'gross': 23.480000000000018, 'spread': 1.1614675000000003, 'slippage': 0.9291740000000002, 'commission': 0.065042032076, 'net': 21.324316467924017, 'entry_model': 2312.23503775, 'exit_model': 2333.6243962500002}}"
2024,FN_SIGNAL__DUKA_EXECUTION,2024-04-09T00:00:00+00:00,2024-04-09T00:05:00+00:00,2024-04-09T09:00:00+00:00,2338.845,2344.948,1,"{'E1': {'gross': 6.1030000000000655, 'spread': 0.4683793, 'slippage': 0.4683793, 'commission': 0.0327865424558, 'net': 5.133454857544266, 'entry_model': 2339.3127689999997, 'exit_model': 2344.4790104}, 'STRESS': {'gross': 6.1030000000000655, 'spread': 1.17094825, 'slippage': 0.9367586, 'commission': 0.0655730635511, 'net': 3.929720086448965, 'entry_model': 2339.8974802499997, 'exit_model': 2343.8927734}}"
