availability_reason,availability_verdict,delta_close,delta_high,delta_low,delta_open,duplicate_alternatives_at_signal,exact_match_rule,exact_previous_day_close,exact_previous_day_high,exact_previous_day_low,exact_previous_day_open,exact_same_day_close,exact_same_day_high,exact_same_day_low,exact_same_day_open,hcc_close,hcc_high,hcc_low,hcc_open,intraday_ex_midnight_close,intraday_ex_midnight_high,intraday_ex_midnight_low,intraday_ex_midnight_open,previous_day_close,previous_day_high,previous_day_low,previous_day_open,signal_epoch,signal_time,source_precision,year
HCC has no proven structural timeframe/available_at and no independent native export supplied.,UNRESOLVED,0.0,0.0,0.0,0.0,0,IEEE-754_VALUE_EQUALITY,False,False,False,False,True,True,True,True,2048.48,2062.2,2028.54,2028.56,2048.48,2062.2,2028.54,2028.56,2028.5,2040.7,2013.26,2024.35,1705017600,2024.01.12 00:00:00,UNRESOLVED_BINARY_DOUBLE,2024
HCC has no proven structural timeframe/available_at and no independent native export supplied.,UNRESOLVED,0.0,0.0,0.0,0.0,0,IEEE-754_VALUE_EQUALITY,False,False,False,False,True,True,True,True,2029.54,2039.36,2020.37,2023.62,2029.54,2039.36,2020.37,2023.62,2022.81,2023.24,2005.73,2005.93,1705622400,2024.01.19 00:00:00,UNRESOLVED_BINARY_DOUBLE,2024
HCC has no proven structural timeframe/available_at and no independent native export supplied.,UNRESOLVED,0.0,0.0,0.0,0.0,0,IEEE-754_VALUE_EQUALITY,False,False,False,False,True,True,True,True,2029.0,2037.83,2019.56,2021.78,2029.0,2037.83,2019.56,2021.78,2021.64,2032.08,2016.44,2029.8,1705968000,2024.01.23 00:00:00,UNRESOLVED_BINARY_DOUBLE,2024
HCC has no proven structural timeframe/available_at and no independent native export supplied.,UNRESOLVED,0.0,0.0,0.0,0.0,0,IEEE-754_VALUE_EQUALITY,,,,,True,True,True,True,2032.71,2037.54,2019.25,2026.1,2032.71,2037.54,2019.25,2026.1,,,,,1706486400,2024.01.29 00:00:00,UNRESOLVED_BINARY_DOUBLE,2024
HCC has no proven structural timeframe/available_at and no independent native export supplied.,UNRESOLVED,0.0,0.0,0.0,0.0,0,IEEE-754_VALUE_EQUALITY,False,False,False,False,True,True,True,True,2035.83,2038.86,2022.85,2025.01,2035.83,2038.86,2022.85,2025.01,2024.66,2042.19,2014.86,2039.81,1707177600,2024.02.06 00:00:00,UNRESOLVED_BINARY_DOUBLE,2024
HCC has no proven structural timeframe/available_at and no independent native export supplied.,UNRESOLVED,0.0,0.0,0.0,0.0,0,IEEE-754_VALUE_EQUALITY,False,False,False,False,True,True,True,True,2004.06,2008.24,1990.2,1992.34,2004.06,2008.24,1990.2,1992.34,1992.08,1996.05,1984.18,1993.23,1707955200,2024.02.15 00:00:00,UNRESOLVED_BINARY_DOUBLE,2024
HCC has no proven structural timeframe/available_at and no independent native export supplied.,UNRESOLVED,0.0,0.0,0.0,0.0,0,IEEE-754_VALUE_EQUALITY,False,False,False,False,True,True,True,True,2013.4,2015.13,1995.06,2004.2,2013.4,2015.13,1995.06,2004.2,2004.06,2008.24,1990.2,1992.34,1708041600,2024.02.16 00:00:00,UNRESOLVED_BINARY_DOUBLE,2024
HCC has no proven structural timeframe/available_at and no independent native export supplied.,UNRESOLVED,0.0,0.0,0.0,0.0,0,IEEE-754_VALUE_EQUALITY,,,,,True,True,True,True,2017.9,2022.95,2011.38,2015.12,2017.9,2022.95,2011.38,2015.12,,,,,1708300800,2024.02.19 00:00:00,UNRESOLVED_BINARY_DOUBLE,2024
HCC has no proven structural timeframe/available_at and no independent native export supplied.,UNRESOLVED,0.0,0.0,0.0,0.0,0,IEEE-754_VALUE_EQUALITY,False,False,False,False,True,True,True,True,2024.1,2030.86,2014.98,2017.72,2024.1,2030.86,2014.98,2017.72,2017.9,2022.95,2011.38,2015.12,1708387200,2024.02.20 00:00:00,UNRESOLVED_BINARY_DOUBLE,2024
HCC has no proven structural timeframe/available_at and no independent native export supplied.,UNRESOLVED,0.0,0.0,0.0,0.0,0,IEEE-754_VALUE_EQUALITY,False,False,False,False,True,True,True,True,2035.98,2041.29,2015.98,2024.39,2035.98,2041.29,2015.98,2024.39,2024.18,2034.82,2019.56,2025.74,1708646400,2024.02.23 00:00:00,UNRESOLVED_BINARY_DOUBLE,2024
HCC has no proven structural timeframe/available_at and no independent native export supplied.,UNRESOLVED,0.0,0.0,0.0,0.0,0,IEEE-754_VALUE_EQUALITY,False,False,False,False,True,True,True,True,2044.04,2050.72,2028.06,2035.0,2044.04,2050.72,2028.06,2035.0,2034.3,2037.8,2024.43,2030.51,1709164800,2024.02.29 00:00:00,UNRESOLVED_BINARY_DOUBLE,2024
HCC has no proven structural timeframe/available_at and no independent native export supplied.,UNRESOLVED,0.0,0.0,0.0,0.0,0,IEEE-754_VALUE_EQUALITY,False,False,False,False,True,True,True,True,2083.41,2088.26,2038.98,2043.82,2083.41,2088.26,2038.98,2043.82,2044.04,2050.72,2028.06,2035.0,1709251200,2024.03.01 00:00:00,UNRESOLVED_BINARY_DOUBLE,2024
HCC has no proven structural timeframe/available_at and no independent native export supplied.,UNRESOLVED,0.0,0.0,0.0,0.0,0,IEEE-754_VALUE_EQUALITY,,,,,True,True,True,True,2114.27,2119.84,2079.39,2082.62,2114.27,2119.84,2079.39,2082.62,,,,,1709510400,2024.03.04 00:00:00,UNRESOLVED_BINARY_DOUBLE,2024
HCC has no proven structural timeframe/available_at and no independent native export supplied.,UNRESOLVED,0.0,0.0,0.0,0.0,0,IEEE-754_VALUE_EQUALITY,False,False,False,False,True,True,True,True,2127.94,2141.74,2110.42,2114.9,2127.94,2141.74,2110.42,2114.9,2114.27,2119.84,2079.39,2082.62,1709596800,2024.03.05 00:00:00,UNRESOLVED_BINARY_DOUBLE,2024
