accepted_first,alternative_index,block_id,block_index,block_start_offset,byte_offset,close,high,low,open,real_volume,relation,server_epoch,server_time,signal_epoch,spread,symbol,tick_volume,timeframe,year
True,0,8,1379,595545,678285,2028.5,2028.74,2028.5,2028.64,0,previous,1705017480,2024.01.11 23:58:00,1705017600,52,XAUUSD,27,M1,2024
True,0,9,0,678474,678474,2048.48,2062.2,2028.54,2028.56,0,signal,1705017600,2024.01.12 00:00:00,1705017600,0,XAUUSD,122998,M1,2024
True,0,9,1,678474,678534,2029.08,2029.54,2028.54,2028.56,0,next,1705021200,2024.01.12 01:00:00,1705017600,24,XAUUSD,64,M1,2024
True,0,13,1380,1000530,1083330,2022.81,2022.94,2022.71,2022.84,0,previous,1705622340,2024.01.18 23:59:00,1705622400,45,XAUUSD,7,M1,2024
True,0,14,0,1083519,1083519,2029.54,2039.36,2020.37,2023.62,0,signal,1705622400,2024.01.19 00:00:00,1705622400,0,XAUUSD,106337,M1,2024
True,0,14,1,1083519,1083579,2023.92,2024.54,2023.6,2023.62,0,next,1705626000,2024.01.19 01:00:00,1705622400,24,XAUUSD,62,M1,2024
True,0,15,1380,1165608,1248408,2021.64,2021.66,2021.49,2021.51,0,previous,1705967940,2024.01.22 23:59:00,1705968000,35,XAUUSD,11,M1,2024
True,0,16,0,1248597,1248597,2029.0,2037.83,2019.56,2021.78,0,signal,1705968000,2024.01.23 00:00:00,1705968000,0,XAUUSD,108278,M1,2024
True,0,16,1,1248597,1248657,2021.54,2021.99,2021.54,2021.78,0,next,1705971600,2024.01.23 01:00:00,1705968000,24,XAUUSD,30,M1,2024
True,0,19,1365,1497564,1579464,2018.37,2018.55,2018.32,2018.44,0,previous,1706312640,2024.01.26 23:44:00,1706486400,24,XAUUSD,15,M1,2024
True,0,20,0,1579653,1579653,2032.71,2037.54,2019.25,2026.1,0,signal,1706486400,2024.01.29 00:00:00,1706486400,3,XAUUSD,97013,M1,2024
True,0,20,1,1579653,1579713,2026.12,2026.6,2026.07,2026.1,0,next,1706490000,2024.01.29 01:00:00,1706486400,24,XAUUSD,23,M1,2024
True,0,25,1380,1993698,2076498,2024.66,2025.2,2024.65,2024.96,0,previous,1707177540,2024.02.05 23:59:00,1707177600,45,XAUUSD,11,M1,2024
True,0,26,0,2076687,2076687,2035.83,2038.86,2022.85,2025.01,0,signal,1707177600,2024.02.06 00:00:00,1707177600,0,XAUUSD,92940,M1,2024
True,0,26,1,2076687,2076747,2025.02,2025.08,2024.88,2025.01,0,next,1707181200,2024.02.06 01:00:00,1707177600,24,XAUUSD,25,M1,2024
True,0,32,1380,2573721,2656521,1992.08,1992.12,1991.94,1992.05,0,previous,1707955140,2024.02.14 23:59:00,1707955200,37,XAUUSD,5,M1,2024
True,0,33,0,2656710,2656710,2004.06,2008.24,1990.2,1992.34,0,signal,1707955200,2024.02.15 00:00:00,1707955200,0,XAUUSD,94056,M1,2024
True,0,33,1,2656710,2656770,1992.69,1992.69,1992.3,1992.34,0,next,1707958800,2024.02.15 01:00:00,1707955200,24,XAUUSD,19,M1,2024
True,0,33,1380,2656710,2739510,2004.06,2004.11,2004.06,2004.11,0,previous,1708041540,2024.02.15 23:59:00,1708041600,52,XAUUSD,2,M1,2024
True,0,34,0,2739699,2739699,2013.4,2015.13,1995.06,2004.2,0,signal,1708041600,2024.02.16 00:00:00,1708041600,0,XAUUSD,91974,M1,2024
True,0,34,1,2739699,2739759,2004.36,2004.79,2004.11,2004.2,0,next,1708045200,2024.02.16 01:00:00,1708041600,24,XAUUSD,38,M1,2024
True,0,34,1365,2739699,2821599,2013.4,2013.4,2013.22,2013.22,0,previous,1708127040,2024.02.16 23:44:00,1708300800,21,XAUUSD,7,M1,2024
True,0,35,0,2821788,2821788,2017.9,2022.95,2011.38,2015.12,0,signal,1708300800,2024.02.19 00:00:00,1708300800,12,XAUUSD,59013,M1,2024
True,0,35,1,2821788,2821848,2015.16,2016.33,2015.0,2015.12,0,next,1708304400,2024.02.19 01:00:00,1708300800,24,XAUUSD,48,M1,2024
True,0,35,1229,2821788,2895528,2017.9,2017.9,2017.75,2017.82,0,previous,1708378140,2024.02.19 21:29:00,1708387200,18,XAUUSD,11,M1,2024
True,0,36,0,2895717,2895717,2024.1,2030.86,2014.98,2017.72,0,signal,1708387200,2024.02.20 00:00:00,1708387200,12,XAUUSD,84022,M1,2024
True,0,36,1,2895717,2895777,2017.4,2017.8,2017.29,2017.72,0,next,1708390800,2024.02.20 01:00:00,1708387200,24,XAUUSD,47,M1,2024
True,0,38,1380,3061695,3144495,2024.18,2024.31,2024.08,2024.18,0,previous,1708646340,2024.02.22 23:59:00,1708646400,44,XAUUSD,9,M1,2024
True,0,39,0,3144684,3144684,2035.98,2041.29,2015.98,2024.39,0,signal,1708646400,2024.02.23 00:00:00,1708646400,0,XAUUSD,90282,M1,2024
True,0,39,1,3144684,3144744,2024.38,2024.5,2024.32,2024.39,0,next,1708650000,2024.02.23 01:00:00,1708646400,24,XAUUSD,23,M1,2024
True,0,42,1380,3392751,3475551,2034.3,2034.34,2034.3,2034.31,0,previous,1709164740,2024.02.28 23:59:00,1709164800,29,XAUUSD,7,M1,2024
True,0,43,0,3475740,3475740,2044.04,2050.72,2028.06,2035.0,0,signal,1709164800,2024.02.29 00:00:00,1709164800,0,XAUUSD,86598,M1,2024
