index,dataset,feature,operator,quantile,horizon_bars,direction,hour_start,hour_width,source_numerical_gate,raw_m1_numerical_gate,selected_return_reference_mismatch_n,selected_return_reference_evaluable_n,selected_return_reference_mismatch_share,edge_drift_2024_atr,edge_drift_2025_atr,material_semantic_change,original_confirmation_bh_q
0,xauusd_m1_2024_2025_news_clean.csv,sma5,lt,0.05,1,1,,,True,True,27,33830,0.0007981081879988176,0.0006390543927384425,0.0003080149639674776,False,7.463180363937053e-08
1,xauusd_m1_2024_2025_raw.csv,sma5,lt,0.05,1,1,,,True,True,0,34179,0.0,0.0,0.0,False,7.463180363937053e-08
2,xauusd_m1_2024_2025_raw.csv,ret1,lt,0.1,3,1,,,True,True,0,68285,0.0,0.0,0.0,False,1.1400423811921865e-06
3,xauusd_m1_2024_2025_raw.csv,body,lt,0.3,3,1,,,True,True,0,211006,0.0,0.0,0.0,False,1.1400423811921865e-06
4,xauusd_m1_2024_2025_raw.csv,ret3,lt,0.05,1,1,,,True,True,0,33784,0.0,0.0,0.0,False,1.1400423811921865e-06
5,xauusd_m1_2024_2025_raw.csv,body,lt,0.1,3,1,,,True,True,0,68426,0.0,0.0,0.0,False,2.5015577422305617e-06
6,xauusd_m1_2024_2025_raw.csv,ret1,lt,0.05,3,1,,,True,True,0,33921,0.0,0.0,0.0,False,2.5015577422305617e-06
7,xauusd_m1_2024_2025_raw.csv,body,lt,0.05,3,1,,,True,True,0,33926,0.0,0.0,0.0,False,2.5015577422305617e-06
8,xauusd_m1_2024_2025_news_clean.csv,ret3,lt,0.05,1,1,,,True,True,23,33450,0.000687593423019432,0.0013422735274075878,0.0002008786526452866,False,2.5015577422305617e-06
9,xauusd_m1_2024_2025_raw.csv,ret1,lt,0.3,3,1,,,True,True,0,211034,0.0,0.0,0.0,False,2.5015577422305617e-06
10,xauusd_m1_2024_2025_news_clean.csv,ret1,lt,0.1,3,1,,,True,True,45,67601,0.000665670626174169,0.00019763455169346383,0.0007127421914272861,False,3.7181982064003305e-06
11,xauusd_m1_2024_2025_news_clean.csv,ret1,lt,0.05,3,1,,,True,True,18,33578,0.0005360652808386444,0.0008564595730964075,0.0002956007205092842,False,6.06111662809647e-06
12,xauusd_m1_2024_2025_news_clean.csv,body,lt,0.05,3,1,,,True,True,18,33603,0.0005356664583519329,0.0010071449823088746,0.0002945555746963896,False,9.073968670814204e-06
13,xauusd_m1_2024_2025_news_clean.csv,body,lt,0.3,3,1,,,True,True,190,209024,0.0009089865278628292,0.0002791373338316104,0.0005209275068176408,False,1.6161290365775305e-05
14,xauusd_m1_2024_2025_news_clean.csv,body,lt,0.1,3,1,,,True,True,46,67729,0.0006791773095719707,0.0003001412851015989,0.0006560381270793725,False,1.672338649300805e-05
15,xauusd_m1_2024_2025_news_clean.csv,sma20,lt,0.2,6,1,0.0,2.0,True,True,0,2326,0.0,0.0,7.392534448130705e-05,False,3.8118008113368806e-05
16,xauusd_m1_2024_2025_raw.csv,rsi7,lt,0.3,3,1,0.0,2.0,True,True,0,6242,0.0,0.0,0.0,False,3.8118008113368806e-05
17,xauusd_m1_2024_2025_raw.csv,body,lt,0.2,3,1,,,True,True,0,139295,0.0,0.0,0.0,False,3.8118008113368806e-05
18,xauusd_m1_2024_2025_news_clean.csv,ret1,lt,0.3,3,1,,,True,True,190,209027,0.0009089734818946834,0.00047286771598005484,0.0005560010427100928,False,3.8118008113368806e-05
19,xauusd_m1_2024_2025_news_clean.csv,sma5,lt,0.1,3,1,0.0,2.0,True,True,0,1513,0.0,0.0,7.176523667920542e-05,False,9.209565476279462e-05
20,xauusd_m1_2024_2025_news_clean.csv,rsi14,lt,0.3,3,1,0.0,2.0,True,True,0,4616,0.0,0.0,8.102912995400224e-05,False,9.209565476279462e-05
21,xauusd_m1_2024_2025_raw.csv,rsi14,lt,0.2,6,1,0.0,2.0,True,True,0,2211,0.0,0.0,0.0,False,9.213210614537372e-05
22,xauusd_m5_2024_2025_news_clean.csv,sma5,lt,0.05,48,1,1.0,2.0,True,True,0,329,0.0,0.0,0.0,False,9.791500654215207e-05
23,xauusd_m1_2024_2025_raw.csv,ret1,lt,0.2,3,1,,,True,True,0,139121,0.0,0.0,0.0,False,0.00011088050658285293
24,xauusd_m1_2024_2025_raw.csv,body,lt,0.05,1,1,,,True,True,0,33927,0.0,0.0,0.0,False,0.00011690065530516396
25,xauusd_m1_2024_2025_raw.csv,ret3,lt,0.05,1,1,10.0,8.0,True,True,0,12000,0.0,0.0,0.0,False,0.00013356977427474506
26,xauusd_m1_2024_2025_raw.csv,sma5,lt,0.05,3,1,,,True,True,0,34179,0.0,0.0,0.0,False,0.000147668735842264
27,xauusd_m1_2024_2025_raw.csv,sma5,lt,0.2,3,1,,,True,True,0,137704,0.0,0.0,0.0,False,0.0003423015331080948
28,xauusd_m1_2024_2025_raw.csv,sma10,lt,0.05,1,1,,,True,True,0,33706,0.0,0.0,0.0,False,0.0006528154296760732
29,xauusd_m1_2024_2025_news_clean.csv,ret12,lt,0.3,12,1,0.0,2.0,True,True,0,5087,0.0,0.0,8.240409397947124e-05,False,0.000762621235865268
30,xauusd_m1_2024_2025_news_clean.csv,body,lt,0.2,3,1,,,True,True,116,137908,0.0008411404704585666,0.0006526234574921741,0.00010057659921697965,False,0.0007999501741892366
31,xauusd_m5_2024_2025_news_clean.csv,sma5,lt,0.2,48,1,0.0,2.0,True,True,0,1148,0.0,0.0,0.0003774659880234621,False,0.0009643963779911413
32,xauusd_m1_2024_2025_news_clean.csv,sma10,lt,0.05,1,1,,,True,True,26,33407,0.0007782800011973539,0.0008570962221361791,0.0005037875520966448,False,0.0009643963779911413
33,xauusd_m1_2024_2025_raw.csv,ret1,lt,0.1,3,1,10.0,6.0,True,True,0,18947,0.0,0.0,0.0,False,0.0009680236664917065
34,xauusd_m1_2024_2025_news_clean.csv,sma5,lt,0.05,3,1,,,True,True,27,33830,0.0007981081879988176,0.0006390525838883832,0.00030801710751406086,False,0.0010788933717461055
35,xauusd_m1_2024_2025_news_clean.csv,ret3,lt,0.3,12,1,0.0,2.0,True,True,0,5215,0.0,0.0,8.29801225975535e-05,False,0.0011115239190257573
36,xauusd_m1_2024_2025_news_clean.csv,sma5,lt,0.3,1,1,20.0,6.0,True,True,17,40799,0.0004166768793352778,0.00031157950917412233,0.0009276252713631764,False,0.0016261350833519893
37,xauusd_m1_2024_2025_raw.csv,sma5,lt,0.1,3,1,,,True,True,0,67868,0.0,0.0,0.0,False,0.0020778205008542463
38,xauusd_m1_2024_2025_news_clean.csv,ret1,lt,0.2,3,1,,,True,True,109,137731,0.0007913977245500287,0.000607539252984856,0.0004169592138648752,False,0.0021700052156926
39,xauusd_m1_2024_2025_news_clean.csv,body,lt,0.05,3,1,12.0,8.0,True,True,17,11458,0.001483679525222552,0.0027499740668821965,0.0006262807024311617,False,0.00252246818673632
40,xauusd_m1_2024_2025_raw.csv,ret1,lt,0.3,3,1,20.0,6.0,True,True,0,41240,0.0,0.0,0.0,False,0.003303594867133251
41,xauusd_m5_2024_2025_raw.csv,ret24,gt,0.95,48,-1,2.0,2.0,True,True,0,306,0.0,0.0,0.0,False,0.004176704544860895
42,xauusd_m1_2024_2025_raw.csv,ret3,lt,0.2,3,1,,,True,True,0,137924,0.0,0.0,0.0,False,0.004176704544860895
43,xauusd_m1_2024_2025_news_clean.csv,sma5,lt,0.2,3,1,,,True,True,119,136324,0.0008729203955283002,0.0006216392882795047,0.0003658319394377607,False,0.004176704544860895
44,xauusd_m1_2024_2025_news_clean.csv,ret1,lt,0.05,3,1,10.0,6.0,True,True,9,9260,0.0009719222462203023,0.000965595311327852,0.0003045249981114273,False,0.004792968110190911
45,xauusd_m1_2024_2025_news_clean.csv,sma5,lt,0.2,3,1,20.0,6.0,True,True,10,26079,0.00038345028567046284,0.00036253164851472036,0.0009707350098432793,False,0.004828485226524307
46,xauusd_m1_2024_2025_raw.csv,sma5,lt,0.05,3,1,12.0,6.0,True,True,0,9399,0.0,0.0,0.0,False,0.007697672804106783
