candidate_id,lookback_bars,buffer_atr,horizon_bars,session,direction,discovery_pass,confirmation_pass,y2024_e1_net,y2024_stress_net,y2025_e1_net,y2025_stress_net,bh_q
R6B-001,12,0.0,12,ALL,LONG,False,False,-2259.888481774868,-5043.581476111941,,,
R6B-002,12,0.0,12,ALL,SHORT,False,False,-2001.4641711541087,-4482.736064818466,,,
R6B-003,12,0.0,12,UTC00_08,LONG,False,False,-641.6904799767432,-1574.2906890703402,,,
R6B-004,12,0.0,12,UTC00_08,SHORT,False,False,-750.3076776903997,-1566.2115097067858,,,
R6B-005,12,0.0,12,UTC08_16,LONG,False,False,-985.2061144605614,-2048.2501313725634,,,
R6B-006,12,0.0,12,UTC08_16,SHORT,False,False,-636.1316856024076,-1574.5438262858286,,,
R6B-007,12,0.0,12,UTC16_24,LONG,False,False,-818.8463423150507,-1733.4514149177328,,,
R6B-008,12,0.0,12,UTC16_24,SHORT,False,False,-755.0008099521624,-1575.1670332347223,,,
R6B-009,12,0.0,24,ALL,LONG,False,False,-1607.5434977117422,-3655.0432507778532,,,
R6B-010,12,0.0,24,ALL,SHORT,False,False,-1672.6556601863101,-3522.0446205133535,,,
R6B-011,12,0.0,24,UTC00_08,LONG,False,False,-504.35642331814734,-1229.7251708566864,,,
R6B-012,12,0.0,24,UTC00_08,SHORT,False,False,-743.888151614348,-1397.559770489559,,,
R6B-013,12,0.0,24,UTC08_16,LONG,False,False,-831.8031794891193,-1643.6043256010253,,,
R6B-014,12,0.0,24,UTC08_16,SHORT,False,False,-403.05291579106535,-1115.3562454847824,,,
R6B-015,12,0.0,24,UTC16_24,LONG,False,False,-448.28951163437983,-1151.73639285471,,,
R6B-016,12,0.0,24,UTC16_24,SHORT,False,False,-613.8459267885565,-1261.9650728984745,,,
R6B-017,12,0.0,48,ALL,LONG,False,False,-961.9740778320133,-2269.8111693440555,,,
R6B-018,12,0.0,48,ALL,SHORT,False,False,-1474.6464277299049,-2711.407936134555,,,
R6B-019,12,0.0,48,UTC00_08,LONG,False,False,-240.8814630532741,-749.8798490147332,,,
R6B-020,12,0.0,48,UTC00_08,SHORT,False,False,-543.0062369756785,-1008.1715655405444,,,
R6B-021,12,0.0,48,UTC08_16,LONG,False,False,-738.7635992680761,-1311.8159915063559,,,
R6B-022,12,0.0,48,UTC08_16,SHORT,False,False,-246.2425735502449,-773.4558164760849,,,
R6B-023,12,0.0,48,UTC16_24,LONG,False,False,-205.5064343761938,-712.3382870428658,,,
R6B-024,12,0.0,48,UTC16_24,SHORT,False,False,-619.3394218622718,-1111.3509270052168,,,
R6B-025,12,0.0,96,ALL,LONG,False,False,-78.69756340306269,-829.9291259638007,,,
R6B-026,12,0.0,96,ALL,SHORT,False,False,-848.4119503128729,-1579.958044032904,,,
R6B-027,12,0.0,96,UTC00_08,LONG,False,False,-59.13962601649037,-366.24795337421244,,,
R6B-028,12,0.0,96,UTC00_08,SHORT,False,False,-495.7891454200984,-800.8607422154414,,,
R6B-029,12,0.0,96,UTC08_16,LONG,False,False,-377.0082718721989,-692.3711991748988,,,
R6B-030,12,0.0,96,UTC08_16,SHORT,False,False,-163.75688828454884,-478.32350775545984,,,
R6B-031,12,0.0,96,UTC16_24,LONG,False,False,79.17227577265959,-232.82538079803737,,,
R6B-032,12,0.0,96,UTC16_24,SHORT,False,False,-546.6127687750477,-857.1889125877017,,,
R6B-033,12,0.1,12,ALL,LONG,False,False,-1964.1993972613861,-4508.026861226258,,,
R6B-034,12,0.1,12,ALL,SHORT,False,False,-1813.7995965392388,-4075.2625255515577,,,
R6B-035,12,0.1,12,UTC00_08,LONG,False,False,-567.0077823633154,-1409.9277823349073,,,
R6B-036,12,0.1,12,UTC00_08,SHORT,False,False,-669.8807651260079,-1407.5586235170358,,,
R6B-037,12,0.1,12,UTC08_16,LONG,False,False,-878.9205031688368,-1864.745814134798,,,
R6B-038,12,0.1,12,UTC08_16,SHORT,False,False,-576.5030951876911,-1445.067613944599,,,
R6B-039,12,0.1,12,UTC16_24,LONG,False,False,-693.9747918093326,-1511.8242677420087,,,
R6B-040,12,0.1,12,UTC16_24,SHORT,False,False,-684.1333932482429,-1419.790794817083,,,
R6B-041,12,0.1,24,ALL,LONG,False,False,-1337.1330104803906,-3245.206554261763,,,
R6B-042,12,0.1,24,ALL,SHORT,False,False,-1529.3394272561536,-3254.1439340026436,,,
R6B-043,12,0.1,24,UTC00_08,LONG,False,False,-425.07442094159086,-1102.1693779621698,,,
R6B-044,12,0.1,24,UTC00_08,SHORT,False,False,-658.7482957679401,-1256.7367601557303,,,
R6B-045,12,0.1,24,UTC08_16,LONG,False,False,-730.2521213547009,-1499.702823096151,,,
R6B-046,12,0.1,24,UTC08_16,SHORT,False,False,-369.5908269598697,-1050.2818047943867,,,
R6B-047,12,0.1,24,UTC16_24,LONG,False,False,-403.82253965659316,-1050.099991904665,,,
R6B-048,12,0.1,24,UTC16_24,SHORT,False,False,-595.8378940256167,-1197.6001589402517,,,
R6B-049,12,0.1,48,ALL,LONG,False,False,-802.8598362157472,-2051.7306467208514,,,
R6B-050,12,0.1,48,ALL,SHORT,False,False,-1381.3147483395226,-2555.7485677028353,,,
R6B-051,12,0.1,48,UTC00_08,LONG,False,False,-175.63795282496696,-655.343912912341,,,
R6B-052,12,0.1,48,UTC00_08,SHORT,False,False,-451.2911437526475,-885.0886993619084,,,
R6B-053,12,0.1,48,UTC08_16,LONG,False,False,-682.3585153085503,-1238.1719384384824,,,
R6B-054,12,0.1,48,UTC08_16,SHORT,False,False,-209.35358475913668,-718.3546048160987,,,
R6B-055,12,0.1,48,UTC16_24,LONG,False,False,-174.76998086214678,-647.0291835046578,,,
R6B-056,12,0.1,48,UTC16_24,SHORT,False,False,-575.6552687139072,-1038.5846126375782,,,
R6B-057,12,0.1,96,ALL,LONG,False,False,-3.147199666503748,-737.3443007742748,,,
R6B-058,12,0.1,96,ALL,SHORT,False,False,-730.7827662810458,-1433.190790639693,,,
R6B-059,12,0.1,96,UTC00_08,LONG,False,False,-15.554664190423148,-318.2741740819002,,,
R6B-060,12,0.1,96,UTC00_08,SHORT,False,False,-477.7631941703819,-769.0710736917189,,,
R6B-061,12,0.1,96,UTC08_16,LONG,False,False,-291.2411993546264,-604.3853938458244,,,
R6B-062,12,0.1,96,UTC08_16,SHORT,False,False,-170.13119355639472,-482.10832732875974,,,
R6B-063,12,0.1,96,UTC16_24,LONG,False,False,112.19285676195548,-193.65842622119848,,,
R6B-064,12,0.1,96,UTC16_24,SHORT,False,False,-522.8595789872427,-828.6021489425826,,,
R6B-065,12,0.2,12,ALL,LONG,False,False,-1775.9352514089012,-4070.4923990650723,,,
R6B-066,12,0.2,12,ALL,SHORT,False,False,-1716.6301937244523,-3773.01531366002,,,
R6B-067,12,0.2,12,UTC00_08,LONG,False,False,-527.5801624924118,-1286.8725861908608,,,
R6B-068,12,0.2,12,UTC00_08,SHORT,False,False,-608.1945878793562,-1266.3189315320951,,,
R6B-069,12,0.2,12,UTC08_16,LONG,False,False,-804.0154355779922,-1697.6000104509642,,,
R6B-070,12,0.2,12,UTC08_16,SHORT,False,False,-543.7651494253198,-1338.3112525139397,,,
