dataset,feature,operator,quantile,cutpoint,horizon_bars,direction,hour_start,hour_width,confirmation_bh_q,neighbor_stress,y2024.n,y2024.mean_atr,y2024.sd_atr,y2024.p,y2025.n,y2025.mean_atr,y2025.sd_atr,y2025.p,y2025_h1.n,y2025_h1.mean_atr,y2025_h1.sd_atr,y2025_h1.p,y2025_h2.n,y2025_h2.mean_atr,y2025_h2.sd_atr,y2025_h2.p
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_news_clean.csv,sma50,lt,0.95,4.165693418933101,48,1,,,2.940467420439284e-149,"[{'quantile': 0.9, 'cutpoint': 3.2524209508981476, 'y2025': {'n': 62164, 'mean_atr': 0.5436051074156542, 'sd_atr': 5.31328481565664, 'p': 1.5747010086700022e-143}}]",66876,0.3897467949096299,5.703229099892222,6.835653756778139e-70,66141,0.5455355988490779,5.3130660883830325,1.1493384226232349e-153,32624,0.5149383480818349,5.172473064910537,2.720966472810919e-72,33517,0.5753176410673713,5.4463410177712746,2.5201231796641555e-83
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_news_clean.csv,sma100,lt,0.95,6.124576007421474,48,1,,,8.809793227346128e-147,"[{'quantile': 0.9, 'cutpoint': 4.893026995803664, 'y2025': {'n': 61727, 'mean_atr': 0.53776868843104, 'sd_atr': 5.302190873587192, 'p': 4.141678086646139e-140}}]",66828,0.4127238631389524,5.649430742072687,1.4941475871641082e-79,65345,0.5413242853326025,5.29749051340945,2.093049413284999e-150,32255,0.485486432404764,5.153499839297052,3.262055524540112e-64,33090,0.5957531141687291,5.4337024588396385,1.6797668133018369e-88
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_news_clean.csv,ret48,lt,0.95,7.425274109003823,48,1,,,8.809793227346128e-147,"[{'quantile': 0.9, 'cutpoint': 5.890079132382748, 'y2025': {'n': 62092, 'mean_atr': 0.535157114738188, 'sd_atr': 5.283631860906002, 'p': 1.5079991047949542e-140}}]",66877,0.3892064488229704,5.688943678618667,4.7986087815153606e-70,65783,0.5384907749462566,5.282418081482914,1.0994032495324051e-150,32394,0.4703705413708825,5.1290072437620085,3.327599647472912e-61,33389,0.6045810096475257,5.426373801271238,3.9008193048434504e-92
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_raw.csv,sma50,lt,0.95,4.146601943489513,48,1,,,8.809793227346128e-147,"[{'quantile': 0.9, 'cutpoint': 3.2316154238280803, 'y2025': {'n': 63024, 'mean_atr': 0.531094891738958, 'sd_atr': 5.256130979684759, 'p': 5.924282781757227e-142}}]",67785,0.38248117552736816,5.622941775292493,3.52418452843794e-70,67060,0.530989763961739,5.258607586051728,1.0243920575137496e-150,33125,0.5030552196587258,5.136727795584641,4.596134200074012e-71,33935,0.5582575341116524,5.3748490197684555,1.3309203378789968e-81
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_news_clean.csv,dow,lt,0.9,4.0,48,1,,,8.809793227346128e-147,"[{'quantile': 0.8, 'cutpoint': 3.0, 'y2025': {'n': 42425, 'mean_atr': 0.605828330430083, 'sd_atr': 5.10388913223768, 'p': 5.170172869602965e-132}}, {'quantile': 0.95, 'cutpoint': 4.0, 'y2025': {'n': 56242, 'mean_atr': 0.5646803827881488, 'sd_atr': 5.126400109027105, 'p': 2.005755172919975e-150}}]",56527,0.3157689401619216,5.580076125576529,2.9094648281884464e-41,56242,0.5646803827881488,5.126400109027105,2.005755172919975e-150,27691,0.7064821757833936,5.065806149215953,3.855229446167355e-119,28551,0.4271498777329379,5.180874766970514,4.0954216870686825e-44
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_news_clean.csv,dow,lt,0.95,4.0,48,1,,,8.809793227346128e-147,"[{'quantile': 0.9, 'cutpoint': 4.0, 'y2025': {'n': 56242, 'mean_atr': 0.5646803827881488, 'sd_atr': 5.126400109027105, 'p': 2.005755172919975e-150}}]",56527,0.3157689401619216,5.580076125576529,2.9094648281884464e-41,56242,0.5646803827881488,5.126400109027105,2.005755172919975e-150,27691,0.7064821757833936,5.065806149215953,3.855229446167355e-119,28551,0.4271498777329379,5.180874766970514,4.0954216870686825e-44
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_raw.csv,dow,lt,0.95,4.0,48,1,,,8.809793227346128e-147,"[{'quantile': 0.9, 'cutpoint': 4.0, 'y2025': {'n': 284449, 'mean_atr': 0.2673195639261662, 'sd_atr': 5.460269976748716, 'p': 2.7547821223721474e-150}}]",285959,0.18790418608765466,5.819014926774026,8.211218223362829e-67,284449,0.2673195639261662,5.460269976748716,2.7547821223721474e-150,139969,0.31438325175496945,5.467241644171085,1.1688246237200636e-102,144480,0.22172531336062243,5.453139052699387,6.967437851920374e-54
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_raw.csv,dow,lt,0.9,4.0,48,1,,,8.809793227346128e-147,"[{'quantile': 0.8, 'cutpoint': 3.0, 'y2025': {'n': 214406, 'mean_atr': 0.29685547321438105, 'sd_atr': 5.440586869446918, 'p': 7.766788644547396e-141}}, {'quantile': 0.95, 'cutpoint': 4.0, 'y2025': {'n': 284449, 'mean_atr': 0.2673195639261662, 'sd_atr': 5.460269976748716, 'p': 2.7547821223721474e-150}}]",285959,0.18790418608765466,5.819014926774026,8.211218223362829e-67,284449,0.2673195639261662,5.460269976748716,2.7547821223721474e-150,139969,0.31438325175496945,5.467241644171085,1.1688246237200636e-102,144480,0.22172531336062243,5.453139052699387,6.967437851920374e-54
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_raw.csv,sma100,lt,0.95,6.057325788441269,48,1,,,3.5781030148171373e-146,"[{'quantile': 0.9, 'cutpoint': 4.855091562709894, 'y2025': {'n': 62526, 'mean_atr': 0.5213861631104857, 'sd_atr': 5.244810147573059, 'p': 2.137518299410998e-136}}]",67737,0.40606281570929376,5.568045248695888,2.4809803812757027e-80,66240,0.5302347941323575,5.2381523501185105,1.258713537107342e-149,32725,0.47568002814415106,5.1113695738056295,1.3480462424418173e-63,33515,0.583503620537372,5.358593655504366,2.0302988030196676e-88
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_raw.csv,ret48,lt,0.95,7.337800497498546,48,1,,,8.678016173166787e-146,"[{'quantile': 0.9, 'cutpoint': 5.820849461766548, 'y2025': {'n': 62876, 'mean_atr': 0.5217925399569661, 'sd_atr': 5.22769631737775, 'p': 3.014560644540927e-138}}]",67786,0.3851197602875822,5.611547439590321,2.0825472847291232e-71,66607,0.5269530099196106,5.227762697342574,3.3919700489238534e-149,32822,0.4619457659667579,5.0916203443331,1.0426698037904819e-60,33785,0.5901073020913002,5.3560317758368114,3.470052978833014e-91
