dataset,feature,operator,quantile,cutpoint,horizon_bars,direction,hour_start,hour_width,confirmation_bh_q,neighbor_stress,y2024.n_selected,y2024.n_baseline,y2024.selected_mean_atr,y2024.baseline_mean_atr,y2024.edge_atr,y2024.p_fast,y2025_fast.n_selected,y2025_fast.n_baseline,y2025_fast.selected_mean_atr,y2025_fast.baseline_mean_atr,y2025_fast.edge_atr,y2025_fast.p_fast,y2025_h1_fast.n_selected,y2025_h1_fast.n_baseline,y2025_h1_fast.selected_mean_atr,y2025_h1_fast.baseline_mean_atr,y2025_h1_fast.edge_atr,y2025_h1_fast.p_fast,y2025_h2_fast.n_selected,y2025_h2_fast.n_baseline,y2025_h2_fast.selected_mean_atr,y2025_h2_fast.baseline_mean_atr,y2025_h2_fast.edge_atr,y2025_h2_fast.p_fast,y2025_hac.n_selected,y2025_hac.n_baseline,y2025_hac.edge_atr,y2025_hac.hac_lag,y2025_hac.hac_se,y2025_hac.hac_z,y2025_hac.p_hac
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_raw.csv,ret3,gt,0.7,0.5140180868182025,1,-1,0.0,2.0,2.4482682333458723e-60,"[{'quantile': 0.8, 'cutpoint': 0.8422735838686819, 'y2025_edge': {'n_selected': 398, 'n_baseline': 2954, 'selected_mean_atr': 1.8711289263103812, 'baseline_mean_atr': -0.15118591563943576, 'edge_atr': 2.022314841949817, 'p_fast': 5.751722771646228e-41}}]",495,2861,1.4801079810179927,-0.17869550871526246,1.658803489733255,7.627545698047562e-39,646,2706,1.15569773507649,-0.1657334142597096,1.3214311493361997,4.743462765156783e-39,311,1338,1.2040587831075573,-0.1814984448438211,1.3855572279513784,1.874558912622068e-20,335,1368,1.110801359143171,-0.1503141080305128,1.2611154671736837,3.516185505913051e-20,646,2706,1.3214311493361997,48,0.07797415152400751,16.94704108359991,2.0238639607719867e-64
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_raw.csv,ret1,gt,0.7,0.29237542707218955,1,-1,0.0,2.0,4.213440696448856e-57,"[{'quantile': 0.8, 'cutpoint': 0.48170212632495074, 'y2025_edge': {'n_selected': 387, 'n_baseline': 2965, 'selected_mean_atr': 1.9062286152361203, 'baseline_mean_atr': -0.14826453835539297, 'edge_atr': 2.054493153591513, 'p_fast': 4.355233330172145e-40}}]",469,2887,1.5300474488298348,-0.1718692945381545,1.7019167433679894,4.011096603196432e-37,602,2750,1.2160568546630777,-0.1578036758671034,1.373860530530181,4.146769606024831e-37,279,1370,1.3124038660281474,-0.17119950093170475,1.483603366959852,2.485466468062781e-19,323,1380,1.132834513576841,-0.14450492199862233,1.2773394355754633,2.3707513109263545e-19,602,2750,1.373860530530181,48,0.08346034021263792,16.461238080624852,6.966091917746311e-61
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_news_clean.csv,sma5,lt,0.3,-0.29273031565797947,6,1,0.0,2.0,9.451689522957135e-56,"[{'quantile': 0.2, 'cutpoint': -0.5022486876022775, 'y2025_edge': {'n_selected': 587, 'n_baseline': 2763, 'selected_mean_atr': 0.8066006069970744, 'baseline_mean_atr': -0.23607412981653572, 'edge_atr': 1.04267473681361, 'p_fast': 3.049279227463048e-36}}]",751,2605,0.7276451808018591,-0.2716295130227305,0.9992746938245896,4.325457647265136e-37,803,2547,0.6204355356205858,-0.26580604612451353,0.8862415817450994,7.751541160493578e-40,391,1258,0.6046523511587599,-0.256537615836168,0.8611899669949279,4.988281076389496e-18,412,1289,0.6354142373792604,-0.2748515739001059,0.9102658112793662,8.565187006255393e-24,803,2547,0.8862415817450994,48,0.05454786671719548,16.247043836559858,2.3439752474887497e-59
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_news_clean.csv,sma5,gt,0.8,0.532218353475258,1,-1,0.0,2.0,1.274933157018528e-54,"[{'quantile': 0.7, 'cutpoint': 0.32822123299566575, 'y2025_edge': {'n_selected': 707, 'n_baseline': 2643, 'selected_mean_atr': 1.062340013965322, 'baseline_mean_atr': -0.1716445969584002, 'edge_atr': 1.2339846109237222, 'p_fast': 7.395675223739581e-40}}, {'quantile': 0.9, 'cutpoint': 0.8436067399314819, 'y2025_edge': {'n_selected': 331, 'n_baseline': 3019, 'selected_mean_atr': 2.2284210050809503, 'baseline_mean_atr': -0.14580643675699356, 'edge_atr': 2.374227441837944, 'p_fast': 1.617572717209291e-42}}]",499,2857,1.4429032210849388,-0.1745177234985191,1.617420944583458,2.541545714737869e-37,506,2844,1.4635013944064994,-0.15580660529439438,1.6193079997008937,6.954319138783997e-39,250,1399,1.4666624314242462,-0.16827188387385364,1.6349343152981,1.1751401387015907e-19,256,1445,1.460414444193856,-0.1437381452717899,1.6041525894656459,7.78668342364626e-21,506,2844,1.6193079997008937,48,0.10079015820967119,16.066132134967866,4.407432658947391e-58
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_raw.csv,ret3,gt,0.7,0.5140180868182025,3,-1,0.0,2.0,1.274933157018528e-54,"[{'quantile': 0.8, 'cutpoint': 0.8422735838686819, 'y2025_edge': {'n_selected': 398, 'n_baseline': 2954, 'selected_mean_atr': 1.8630137942338443, 'baseline_mean_atr': -0.16789177081695147, 'edge_atr': 2.0309055650507957, 'p_fast': 1.5732842146484947e-40}}]",495,2861,1.5086165354213363,-0.19254507072894486,1.7011616061502812,2.642385687443428e-41,646,2706,1.1457433001816515,-0.18278749918904338,1.328530799370695,2.235682236498663e-38,311,1338,1.176712177753193,-0.1911273134373747,1.3678394911905678,3.4935136636754803e-19,335,1368,1.1169930884659813,-0.17463057560405268,1.291623664070034,7.948666433899877e-21,646,2706,1.328530799370695,48,0.08274846739303274,16.05505021694885,5.269625349336728e-58
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_news_clean.csv,ret3,gt,0.7,0.5151396056913994,3,-1,0.0,2.0,2.5519012913041277e-54,"[{'quantile': 0.8, 'cutpoint': 0.8425260668890412, 'y2025_edge': {'n_selected': 396, 'n_baseline': 2954, 'selected_mean_atr': 1.8692127511220094, 'baseline_mean_atr': -0.16821167958454186, 'edge_atr': 2.037424430706551, 'p_fast': 1.537537255093868e-40}}]",494,2862,1.5099852458437133,-0.19217123253194576,1.702156478375659,3.1988297002036413e-41,644,2706,1.1453661145684657,-0.1826699297230277,1.3280360442914934,3.361983227568157e-38,311,1338,1.1754770308227467,-0.1911019662223475,1.3665789970450941,3.474246046312506e-19,333,1368,1.1172445080967497,-0.17442280630483334,1.291667314401583,1.2204191182082287e-20,644,2706,1.3280360442914934,48,0.08299919734822925,16.00058900232035,1.2657194137244578e-57
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_news_clean.csv,rsi7,gt,0.7,59.59662394193742,1,-1,0.0,2.0,1.2478531006067244e-50,"[{'quantile': 0.8, 'cutpoint': 65.01458582073369, 'y2025_edge': {'n_selected': 2027, 'n_baseline': 13661, 'selected_mean_atr': 0.48755643170052604, 'baseline_mean_atr': -0.04720916602716516, 'edge_atr': 0.5347655977276912, 'p_fast': 9.432243359621718e-34}}]",3257,12511,0.3017008022145644,-0.05691650411069749,0.3586173063252619,1.0740941555260733e-36,3425,12263,0.2929877834227042,-0.05383109257627815,0.34681887599898237,1.788893214628295e-36,1727,5977,0.2923705778754315,-0.05954515403469962,0.35191573191013115,1.6690610414499253e-19,1698,6286,0.29361553017190317,-0.04839791641703776,0.34201344658894095,1.2716107034851277e-18,3425,12263,0.34681887599898237,48,0.022443719484302696,15.452825287784854,7.220775154374698e-54
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_news_clean.csv,ret1,lt,0.3,-0.27440615803049223,6,1,0.0,2.0,2.5637268389473475e-50,"[{'quantile': 0.2, 'cutpoint': -0.4639426122209444, 'y2025_edge': {'n_selected': 382, 'n_baseline': 2968, 'selected_mean_atr': 1.1353543567215023, 'baseline_mean_atr': -0.206369147117055, 'edge_atr': 1.3417235038385573, 'p_fast': 1.054160267815842e-29}}]",468,2888,1.1177820102843234,-0.23693051643181434,1.3547125267161377,1.821781433555189e-31,598,2752,0.7746310831817268,-0.23329493172909813,1.007926014910825,2.0069367823885686e-33,275,1374,0.8571996702368093,-0.23437784624013602,1.0915775164769452,3.370910017670834e-17,323,1378,0.7043327505496906,-0.2322151606564087,0.9365479112060993,7.808745897395478e-18,598,2752,1.007926014910825,48,0.06545943585644068,15.397719239764164,1.69544636782498e-53
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_news_clean.csv,rsi14,lt,0.3,44.655354021003795,1,1,0.0,2.0,5.55278403876013e-50,"[{'quantile': 0.2, 'cutpoint': 40.953404442029985, 'y2025_edge': {'n_selected': 1198, 'n_baseline': 14490, 'selected_mean_atr': 0.512772421405095, 'baseline_mean_atr': -0.06609067155301358, 'edge_atr': 0.5788630929581087, 'p_fast': 9.329070974175156e-31}}]",2113,13655,0.33438170040583054,-0.07155662122602856,0.4059383216318591,2.2389612904971226e-32,2503,13185,0.2586644621904343,-0.07514521189400986,0.3338096740844442,5.052371086447872e-36,1214,6490,0.2822036091174202,-0.07575004372789194,0.35795365284531216,9.678718680073446e-20,1289,6695,0.23649493203577115,-0.0745588999295745,0.31105383196534564,6.492007236488071e-18,2503,13185,0.3338096740844442,48,0.021760718106301438,15.34001187156503,4.1311942092122983e-53
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_news_clean.csv,ret24,gt,0.7,1.67213651788788,3,-1,0.0,2.0,1.1527126374986816e-48,"[{'quantile': 0.8, 'cutpoint': 2.603256632098151, 'y2025_edge': {'n_selected': 236, 'n_baseline': 3114, 'selected_mean_atr': 2.998324034073466, 'baseline_mean_atr': -0.14909875532747563, 'edge_atr': 3.1474227894009417, 'p_fast': 1.329548271041601e-44}}]",380,2976,1.8544750196810122,-0.17095492726425368,2.025429946945266,1.9833709265528487e-37,492,2858,1.484361844511513,-0.17039715869422165,1.6547590032057347,1.177819242802305e-37,286,1363,1.2604176860688616,-0.183859524897521,1.4442772109663826,2.282333554083904e-18,206,1495,1.795274608174612,-0.15812344288479221,1.9533980510594042,1.3674047872350885e-21,492,2858,1.6547590032057347,48,0.10933380853644382,15.134925100996185,9.528913263608182e-52
