candidate_id,dataset,mechanism_family,feature,operator,quantile,cutpoint,horizon_bars,direction,hour_start,hour_width,bh_q,edge_2024,edge_2025,edge_2025_h1,edge_2025_h2,bucket_size
R4F-001,D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_raw.csv,returns,ret24,gt,0.9,3.919888409674747,6,-1,0,2,4.775190195853227e-29,5.891359591280169,5.397875484490121,5.32645103484075,5.484077420000359,43
R4F-002,D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_news_clean.csv,trend_distance,sma20,gt,0.95,2.5413055779642115,12,-1,0,2,5.5358557041728744e-36,5.54038799172441,5.425850564722385,5.258548209670634,5.609847624444806,44
R4F-003,D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_news_clean.csv,returns,ret24,gt,0.9,3.9402679908463076,24,-1,0,2,6.215830243982835e-27,5.793880560635847,5.187570413826578,5.016289896016877,5.375964087352216,53
R4F-004,D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_raw.csv,trend_distance,sma50,gt,0.9,3.2316154238280803,1,-1,0,2,2.6090298002336777e-33,5.874724390792693,5.293911365714527,4.850231072261518,5.857428548568177,38
R4F-005,D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_news_clean.csv,rsi,rsi7,gt,0.95,77.4440670460028,3,-1,0,2,1.8408388408567355e-40,4.830265730007975,4.759386881408647,4.900971068864113,4.6262537986140995,23
R4F-006,D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_raw.csv,candle_structure,body,gt,0.95,1.0110450270350626,3,-1,0,2,5.051500272410492e-43,5.178435444274358,4.675796990758201,4.942039258711982,4.439783209696575,17
R4F-007,D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_news_clean.csv,candle_structure,body,gt,0.95,1.0079408227081856,3,-1,0,2,4.481823899993862e-43,5.17705292725547,4.672618347544875,4.936955262671668,4.438334550853803,13
R4F-008,D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_raw.csv,rsi,rsi7,gt,0.9,71.68590936042793,1,-1,0,2,1.1459909253996173e-42,4.299744381999338,4.012036434459189,3.8426207967922767,4.197913019023557,23
R4F-009,D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_news_clean.csv,rsi,rsi7,lt,0.05,23.962743659762086,3,1,0,2,1.429658510403424e-26,4.731722407364033,4.044309096339784,4.722931903271113,3.4619442739847077,13
R4F-010,D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_raw.csv,rsi,rsi7,lt,0.05,23.979726683384882,3,1,0,2,1.3745270816496454e-26,4.733882612618684,4.044016534781535,4.723876251183622,3.4606322947375823,8
R4F-011,D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_news_clean.csv,trend_distance,sma50,lt,0.05,-4.167788533092078,12,1,0,2,1.9157804220014387e-13,3.4700421297355324,3.2250654701273724,2.991468683796868,3.7151760685288213,16
R4F-012,D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_raw.csv,trend_distance,sma20,gt,0.95,2.7576520743474,1,-1,0,2,2.9076978247152256e-35,3.5667129590962374,2.9445106117903936,2.97630337772923,2.9128739501389633,10
R4F-013,D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_raw.csv,trend_distance,sma10,lt,0.1,-1.2139401588984418,6,1,0,2,5.855144976506427e-26,4.3967937023645876,3.2445581624567423,2.8763496152397305,3.8909618043563587,17
R4F-014,D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_news_clean.csv,trend_distance,sma50,gt,0.95,4.429375831112745,3,-1,0,2,1.1285045798334723e-28,3.9161046078460697,2.939392957750564,3.166198964438338,2.727571528483109,11
R4F-015,D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_raw.csv,rsi,rsi14,lt,0.05,31.56621756363758,12,1,0,2,2.6256767662764507e-21,2.849388976709085,3.0096684315263262,3.4027564940251187,2.65867892824965,4
R4F-016,D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_news_clean.csv,rsi,rsi14,lt,0.05,31.523752426636968,6,1,0,2,3.1327719388989202e-25,2.991305211847771,2.880615128941677,3.17652549721099,2.6140414920186745,7
R4F-017,D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_news_clean.csv,candle_structure,body,lt,0.1,-0.7397482173958707,24,1,0,2,6.0430321520344334e-21,3.8081145797325133,2.5438526775000176,2.644718499684868,2.4443724875591397,5
R4F-018,D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_news_clean.csv,returns,ret24,gt,0.95,5.449101948101351,3,-1,0,2,8.889448076367494e-26,2.501377681760222,2.4237493126577023,2.564522830260484,2.280929675322865,12
R4F-019,D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_raw.csv,returns,ret48,lt,0.2,-3.0857310508299127,3,1,0,2,6.542779650099257e-19,2.716382130208593,2.2307589906755925,2.204423348495058,2.26116957909648,25
R4F-020,D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_news_clean.csv,trend_distance,sma50,lt,0.2,-1.7570093251231185,3,1,0,2,8.931854806691545e-26,2.922431558567876,2.355038960812015,2.0906636808292163,2.7641653666156483,16
R4F-021,D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_raw.csv,returns,ret12,gt,0.95,3.871356034445741,12,-1,0,2,1.1692755568733341e-18,2.7060191246132304,2.276108949245172,2.074260073672764,2.5020195976310173,14
R4F-022,D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m5_2024_2025_news_clean.csv,returns,ret24,lt,0.2,-2.1787493808702836,1,1,0,2,5.266775209557041e-24,3.2437138158463954,2.2151420392143235,2.0737402937594642,2.4192810325659475,27
R4F-023,D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_raw.csv,rsi,rsi7,gt,0.95,77.5145521981275,6,-1,0,2,1.0853213550054695e-26,2.266682083473764,1.7349916648151218,1.7246821068052591,1.7445442277206917,4
R4F-024,D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_news_clean.csv,returns,ret6,lt,0.05,-2.7169132034391468,12,1,0,2,1.6876763218608346e-17,1.663181301291228,1.6603696812260353,1.672833713355051,1.645602085807587,15
R4F-025,D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_raw.csv,trend_distance,sma5,lt,0.05,-1.2275741429312652,12,1,0,2,2.4257079530038614e-20,1.735917217178763,1.6219245396748314,1.5987503166801915,1.6440435028074654,11
R4F-026,D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_raw.csv,returns,ret3,lt,0.05,-1.947485662303986,6,1,0,2,9.404558784247348e-21,1.8740549933572468,1.5453946903545008,1.5572183703824554,1.5328425623734894,11
R4F-027,D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_news_clean.csv,rsi,rsi14,gt,0.9,65.14519905198497,6,-1,0,2,4.904473886864637e-26,1.9973803795757947,1.5830615721606642,1.6568904207407136,1.5137500451243573,3
R4F-028,D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_raw.csv,candle_structure,body,gt,0.9,0.8497742028837347,24,-1,0,2,5.2163461787149e-18,1.9509404966843558,1.5191161557172776,1.5088941343043354,1.529373183052689,1
R4F-029,D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_raw.csv,candle_structure,body,lt,0.1,-0.8504524443981683,6,1,0,2,8.463091746839259e-22,1.3341693768874148,1.0607070842695847,1.1870564637145131,0.9517552241825755,4
