dataset,feature,operator,quantile,cutpoint,horizon_bars,direction,hour_start,hour_width,execution,y2025_quarters,confirmation_bh_q,neighbor_stress,y2024.n_selected,y2024.n_baseline,y2024.selected_mean_atr,y2024.baseline_mean_atr,y2024.edge_atr,y2024.p_fast,y2025_fast.n_selected,y2025_fast.n_baseline,y2025_fast.selected_mean_atr,y2025_fast.baseline_mean_atr,y2025_fast.edge_atr,y2025_fast.p_fast,y2025_hac.n_selected,y2025_hac.n_baseline,y2025_hac.edge_atr,y2025_hac.hac_lag,y2025_hac.hac_se,y2025_hac.hac_z,y2025_hac.p_hac
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_news_clean.csv,sma5,lt,0.05,-1.2297444717301456,1,1,,,signal_after_close_entry_next_open_exit_open_after_h_bars,"[{'n_selected': 3851, 'n_baseline': 81730, 'selected_mean_atr': 0.02984178841078559, 'baseline_mean_atr': 0.005902978371810712, 'edge_atr': 0.023938810038974877, 'p_fast': 0.10002404797546145}, {'n_selected': 4178, 'n_baseline': 82856, 'selected_mean_atr': 0.04870842084830736, 'baseline_mean_atr': -0.0012867836390893542, 'edge_atr': 0.049995204487396715, 'p_fast': 0.0007010116249488312}, {'n_selected': 4178, 'n_baseline': 85691, 'selected_mean_atr': 0.05605881603914736, 'baseline_mean_atr': 0.001676684771553883, 'edge_atr': 0.05438213126759348, 'p_fast': 9.844577728157344e-05}, {'n_selected': 4004, 'n_baseline': 84521, 'selected_mean_atr': 0.060169298526979526, 'baseline_mean_atr': 0.0015780009001882984, 'edge_atr': 0.05859129762679123, 'p_fast': 7.283953927524891e-05}]",7.463180363937053e-08,"[{'quantile': 0.1, 'cutpoint': -0.9408859569161797, 'y2025_edge': {'n_selected': 31911, 'n_baseline': 319098, 'selected_mean_atr': 0.033075789669037466, 'baseline_mean_atr': 0.001225198139853065, 'edge_atr': 0.0318505915291844, 'p_fast': 1.201862020051882e-10}}]",17619,334742,0.02702512790389903,0.0029932406839516543,0.024031887219947378,0.000663942458336623,16211,334798,0.048951706507170886,0.0019500823958677805,0.047001624111303104,9.369945422216015e-11,16211,334798,0.047001624111303104,48,0.007051421204260338,6.665553333121782,2.6367003582183548e-11
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_raw.csv,sma5,lt,0.05,-1.2275741429312652,1,1,,,signal_after_close_entry_next_open_exit_open_after_h_bars,"[{'n_selected': 3897, 'n_baseline': 82575, 'selected_mean_atr': 0.028759774879743162, 'baseline_mean_atr': 0.005845708293923336, 'edge_atr': 0.022914066585819827, 'p_fast': 0.11473094277534564}, {'n_selected': 4218, 'n_baseline': 83717, 'selected_mean_atr': 0.051149807422649185, 'baseline_mean_atr': -0.001444639993150375, 'edge_atr': 0.05259444741579956, 'p_fast': 0.00032626406991314997}, {'n_selected': 4224, 'n_baseline': 86536, 'selected_mean_atr': 0.057373383001239585, 'baseline_mean_atr': 0.0012040207667468159, 'edge_atr': 0.056169362234492766, 'p_fast': 5.651495649828878e-05}, {'n_selected': 4046, 'n_baseline': 85200, 'selected_mean_atr': 0.05851480511042568, 'baseline_mean_atr': 0.0016179693285187503, 'edge_atr': 0.05689683578190693, 'p_fast': 9.826883255564053e-05}]",7.463180363937053e-08,"[{'quantile': 0.1, 'cutpoint': -0.939361634893947, 'y2025_edge': {'n_selected': 32281, 'n_baseline': 322132, 'selected_mean_atr': 0.032762601757248655, 'baseline_mean_atr': 0.0010962084433974824, 'edge_atr': 0.031666393313851175, 'p_fast': 1.4829716406783575e-10}}]",17794,338076,0.0273147751485029,0.002710439091844833,0.024604336056658068,0.0003145198708027831,16385,338028,0.049247653444559766,0.0017862738114154727,0.04746137963314429,4.79440190388133e-11,16385,338028,0.04746137963314429,48,0.0070181807101114095,6.762632880735679,1.3550629691495722e-11
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_raw.csv,ret1,lt,0.1,-0.8588557391454485,3,1,,,signal_after_close_entry_next_open_exit_open_after_h_bars,"[{'n_selected': 7670, 'n_baseline': 78802, 'selected_mean_atr': 0.05304349379363176, 'baseline_mean_atr': 0.01851276844702709, 'edge_atr': 0.034530725346604674, 'p_fast': 0.031982841745114676}, {'n_selected': 8406, 'n_baseline': 79529, 'selected_mean_atr': 0.0606458648560414, 'baseline_mean_atr': -0.0001418307500548835, 'edge_atr': 0.06078769560609628, 'p_fast': 0.00012108111014246819}, {'n_selected': 8663, 'n_baseline': 82097, 'selected_mean_atr': 0.08282943789865133, 'baseline_mean_atr': 0.006487199834523473, 'edge_atr': 0.07634223806412785, 'p_fast': 4.870527161962516e-07}, {'n_selected': 7960, 'n_baseline': 81284, 'selected_mean_atr': 0.03637654526540949, 'baseline_mean_atr': 0.01164327581068649, 'edge_atr': 0.024733269454722998, 'p_fast': 0.12307678992625319}]",1.1400423811921865e-06,"[{'quantile': 0.05, 'cutpoint': -1.1350961867817468, 'y2025_edge': {'n_selected': 16127, 'n_baseline': 338284, 'selected_mean_atr': 0.08200675034477245, 'baseline_mean_atr': 0.01042843821359508, 'edge_atr': 0.07157831213117737, 'p_fast': 6.356191326447895e-10}}, {'quantile': 0.2, 'cutpoint': -0.5393144842412559, 'y2025_edge': {'n_selected': 67948, 'n_baseline': 286463, 'selected_mean_atr': 0.03717506873134375, 'baseline_mean_atr': 0.008113875388097588, 'edge_atr': 0.02906119334324616, 'p_fast': 2.8904442005958955e-07}}]",35586,320282,0.044333604942575676,0.008167512974298356,0.03616609196827732,3.2104225062265537e-06,32699,321712,0.05883181315042404,0.009096817020354317,0.04973499613006972,2.8360853991100123e-10,32699,321712,0.04973499613006972,48,0.008130397751818022,6.117166422632716,9.525387559078678e-10
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_raw.csv,body,lt,0.3,-0.31832914321203437,3,1,,,signal_after_close_entry_next_open_exit_open_after_h_bars,"[{'n_selected': 24892, 'n_baseline': 61580, 'selected_mean_atr': 0.036192419355142356, 'baseline_mean_atr': 0.015667182104117914, 'edge_atr': 0.020525237251024443, 'p_fast': 0.030595482527304613}, {'n_selected': 26263, 'n_baseline': 61672, 'selected_mean_atr': 0.03496131856389329, 'baseline_mean_atr': -0.0068050270330905485, 'edge_atr': 0.04176634559698384, 'p_fast': 2.757938198846521e-05}, {'n_selected': 26815, 'n_baseline': 63945, 'selected_mean_atr': 0.048338751265215224, 'baseline_mean_atr': -0.0007205027734124098, 'edge_atr': 0.04905925403862763, 'p_fast': 1.533807135649303e-07}, {'n_selected': 26275, 'n_baseline': 62969, 'selected_mean_atr': 0.018890372391067802, 'baseline_mean_atr': 0.011745855845466713, 'edge_atr': 0.007144516545601089, 'p_fast': 0.4457378991097011}]",1.1400423811921865e-06,"[{'quantile': 0.2, 'cutpoint': -0.5335329945378791, 'y2025_edge': {'n_selected': 68121, 'n_baseline': 286290, 'selected_mean_atr': 0.03819008685938232, 'baseline_mean_atr': 0.007854796704425444, 'edge_atr': 0.030335290154956875, 'p_fast': 8.383162423593798e-08}}]",106761,249107,0.02746635750670534,0.005062994063383823,0.022403363443321517,3.797442496535231e-06,104245,250166,0.034645680481402326,0.0049513430828895914,0.029694337398512734,4.935898755835105e-10,104245,250166,0.029694337398512734,48,0.004861302940250533,6.108308361663715,1.0069266747855383e-09
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_raw.csv,ret3,lt,0.05,-1.947485662303986,1,1,,,signal_after_close_entry_next_open_exit_open_after_h_bars,"[{'n_selected': 3754, 'n_baseline': 82718, 'selected_mean_atr': 0.012692029251810453, 'baseline_mean_atr': 0.006614525584102398, 'edge_atr': 0.006077503667708055, 'p_fast': 0.6779508546124745}, {'n_selected': 4142, 'n_baseline': 83793, 'selected_mean_atr': 0.04892600935749027, 'baseline_mean_atr': -0.0012870116758746002, 'edge_atr': 0.05021302103336487, 'p_fast': 0.0004399978132306788}, {'n_selected': 4144, 'n_baseline': 86616, 'selected_mean_atr': 0.058834074393350665, 'baseline_mean_atr': 0.0011860153618545451, 'edge_atr': 0.05764805903149612, 'p_fast': 3.070749658763978e-05}, {'n_selected': 3950, 'n_baseline': 85296, 'selected_mean_atr': 0.05778055944371935, 'baseline_mean_atr': 0.0017160087045569364, 'edge_atr': 0.05606455073916241, 'p_fast': 0.00011361041431658404}]",1.1400423811921865e-06,"[{'quantile': 0.1, 'cutpoint': -1.4876935651530838, 'y2025_edge': {'n_selected': 32468, 'n_baseline': 321945, 'selected_mean_atr': 0.02759937621325432, 'baseline_mean_atr': 0.0015985240296395966, 'edge_atr': 0.026000852183614722, 'p_fast': 1.0958012539128901e-07}}]",17794,338076,0.026373224538473596,0.0027599958529129403,0.023613228685560657,0.00041968491388003087,15990,338423,0.04517442293050393,0.0020341239896682654,0.04314029894083567,1.6673949011306323e-09,15990,338423,0.04314029894083567,48,0.0070297168506717345,6.13684730939246,8.417521912755316e-10
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_raw.csv,body,lt,0.1,-0.8504524443981683,3,1,,,signal_after_close_entry_next_open_exit_open_after_h_bars,"[{'n_selected': 7681, 'n_baseline': 78791, 'selected_mean_atr': 0.05117651910127822, 'baseline_mean_atr': 0.018689951052060085, 'edge_atr': 0.03248656804921814, 'p_fast': 0.04365562057941321}, {'n_selected': 8416, 'n_baseline': 79519, 'selected_mean_atr': 0.057864239145985326, 'baseline_mean_atr': 0.00014492191307934678, 'edge_atr': 0.05771931723290598, 'p_fast': 0.00026109709793343535}, {'n_selected': 8684, 'n_baseline': 82076, 'selected_mean_atr': 0.08252287526721425, 'baseline_mean_atr': 0.006500102545328734, 'edge_atr': 0.07602277272188551, 'p_fast': 6.12288956329512e-07}, {'n_selected': 8058, 'n_baseline': 81186, 'selected_mean_atr': 0.036118179061977757, 'baseline_mean_atr': 0.011639063932538656, 'edge_atr': 0.0244791151294391, 'p_fast': 0.1251284993029044}]",2.5015577422305617e-06,"[{'quantile': 0.05, 'cutpoint': -1.1246840800657971, 'y2025_edge': {'n_selected': 16133, 'n_baseline': 338278, 'selected_mean_atr': 0.08165627410307685, 'baseline_mean_atr': 0.010443883389853921, 'edge_atr': 0.07121239071322294, 'p_fast': 8.347160090284722e-10}}, {'quantile': 0.2, 'cutpoint': -0.5335329945378791, 'y2025_edge': {'n_selected': 68121, 'n_baseline': 286290, 'selected_mean_atr': 0.03819008685938232, 'baseline_mean_atr': 0.007854796704425444, 'edge_atr': 0.030335290154956875, 'p_fast': 8.383162423593798e-08}}]",35587,320281,0.041276924841147075,0.008507033297631838,0.032769891543515235,2.5414013133332608e-05,32839,321572,0.057484735088505615,0.009212728222253518,0.0482720068662521,9.233297568594505e-10,32839,321572,0.0482720068662521,48,0.008173602009289566,5.905842590743883,3.508488560841858e-09
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_raw.csv,ret1,lt,0.05,-1.1350961867817468,3,1,,,signal_after_close_entry_next_open_exit_open_after_h_bars,"[{'n_selected': 3803, 'n_baseline': 82669, 'selected_mean_atr': 0.06881508959856135, 'baseline_mean_atr': 0.01940247239976842, 'edge_atr': 0.04941261719879293, 'p_fast': 0.03618217866410362}, {'n_selected': 4072, 'n_baseline': 83863, 'selected_mean_atr': 0.1000809855858787, 'baseline_mean_atr': 0.0010848611300939756, 'edge_atr': 0.09899612445578473, 'p_fast': 2.5172542492350215e-05}, {'n_selected': 4331, 'n_baseline': 86429, 'selected_mean_atr': 0.1191142829235924, 'baseline_mean_atr': 0.008495378935181609, 'edge_atr': 0.11061890398841079, 'p_fast': 4.5425625202197807e-07}, {'n_selected': 3921, 'n_baseline': 85323, 'selected_mean_atr': 0.035043444126253424, 'baseline_mean_atr': 0.0128753558464829, 'edge_atr': 0.022168088279770525, 'p_fast': 0.3499643705688993}]",2.5015577422305617e-06,"[{'quantile': 0.1, 'cutpoint': -0.8588557391454485, 'y2025_edge': {'n_selected': 32699, 'n_baseline': 321712, 'selected_mean_atr': 0.05883181315042404, 'baseline_mean_atr': 0.009096817020354317, 'edge_atr': 0.04973499613006972, 'p_fast': 2.8360853991100123e-10}}]",17794,338074,0.044196850230683316,0.01007804298146543,0.03411880724921788,0.0024542577582131898,16127,338284,0.08200675034477245,0.01042843821359508,0.07157831213117737,6.356191326447895e-10,16127,338284,0.07157831213117737,48,0.01213046441179871,5.900706658976439,3.6194793612931034e-09
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_raw.csv,body,lt,0.05,-1.1246840800657971,3,1,,,signal_after_close_entry_next_open_exit_open_after_h_bars,"[{'n_selected': 3775, 'n_baseline': 82697, 'selected_mean_atr': 0.06720346599357985, 'baseline_mean_atr': 0.019492771109399627, 'edge_atr': 0.04771069488418022, 'p_fast': 0.04448258714809384}, {'n_selected': 4111, 'n_baseline': 83824, 'selected_mean_atr': 0.10234427698482365, 'baseline_mean_atr': 0.0009278030107625389, 'edge_atr': 0.10141647397406112, 'p_fast': 1.5373005631236e-05}, {'n_selected': 4308, 'n_baseline': 86452, 'selected_mean_atr': 0.12095672463681176, 'baseline_mean_atr': 0.008432997450556434, 'edge_atr': 0.11252372718625532, 'p_fast': 3.384218941906995e-07}, {'n_selected': 3939, 'n_baseline': 85305, 'selected_mean_atr': 0.03093391560273669, 'baseline_mean_atr': 0.013060437697078955, 'edge_atr': 0.017873477905657735, 'p_fast': 0.44928974674076283}]",2.5015577422305617e-06,"[{'quantile': 0.1, 'cutpoint': -0.8504524443981683, 'y2025_edge': {'n_selected': 32839, 'n_baseline': 321572, 'selected_mean_atr': 0.057484735088505615, 'baseline_mean_atr': 0.009212728222253518, 'edge_atr': 0.0482720068662521, 'p_fast': 9.233297568594505e-10}}]",17793,338075,0.05209903458501873,0.00966224930429486,0.04243678528072387,0.00019512985721526234,16133,338278,0.08165627410307685,0.010443883389853921,0.07121239071322294,8.347160090284722e-10,16133,338278,0.07121239071322294,48,0.012130649637369071,5.870451529145613,4.346098354989352e-09
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_news_clean.csv,ret3,lt,0.05,-1.9514620402302503,1,1,,,signal_after_close_entry_next_open_exit_open_after_h_bars,"[{'n_selected': 3711, 'n_baseline': 81870, 'selected_mean_atr': 0.01586888669084449, 'baseline_mean_atr': 0.00657727752520216, 'edge_atr': 0.009291609165642332, 'p_fast': 0.5278058265934398}, {'n_selected': 4100, 'n_baseline': 82934, 'selected_mean_atr': 0.04610616620984197, 'baseline_mean_atr': -0.0011111153972618157, 'edge_atr': 0.047217281607103784, 'p_fast': 0.0011113426001144089}, {'n_selected': 4119, 'n_baseline': 85750, 'selected_mean_atr': 0.054106684180070176, 'baseline_mean_atr': 0.0018078728400358305, 'edge_atr': 0.05229881134003435, 'p_fast': 0.0001385117030115999}, {'n_selected': 3901, 'n_baseline': 84624, 'selected_mean_atr': 0.05702428461425883, 'baseline_mean_atr': 0.001794294184943012, 'edge_atr': 0.05522999042931582, 'p_fast': 0.00017434034821683754}]",2.5015577422305617e-06,"[{'quantile': 0.1, 'cutpoint': -1.4901617122787154, 'y2025_edge': {'n_selected': 32115, 'n_baseline': 318894, 'selected_mean_atr': 0.027155024592287837, 'baseline_mean_atr': 0.0018010880900178878, 'edge_atr': 0.02535393650226995, 'p_fast': 2.6501807753035034e-07}}]",17619,334742,0.02616327054900757,0.003038604172058414,0.023124666376949158,0.0008787746395297578,15831,335178,0.04379015137312923,0.0022471579691133647,0.04154299340401586,7.989502470491891e-09,15831,335178,0.04154299340401586,48,0.00707995019459824,5.86769571284721,4.41893259535517e-09
D:\MT5_Backtests\Research\PhenomenonDiscovery\phase_ib_v1\xauusd_m1_2024_2025_raw.csv,ret1,lt,0.3,-0.32149726575184057,3,1,,,signal_after_close_entry_next_open_exit_open_after_h_bars,"[{'n_selected': 24975, 'n_baseline': 61497, 'selected_mean_atr': 0.037618682179354, 'baseline_mean_atr': 0.015060249916750711, 'edge_atr': 0.022558432262603286, 'p_fast': 0.017205545299956104}, {'n_selected': 26251, 'n_baseline': 61684, 'selected_mean_atr': 0.03389175471514158, 'baseline_mean_atr': -0.006341725095136703, 'edge_atr': 0.040233479810278285, 'p_fast': 5.383215557337819e-05}, {'n_selected': 26841, 'n_baseline': 63919, 'selected_mean_atr': 0.046028273486314976, 'baseline_mean_atr': 0.00022976230361409567, 'edge_atr': 0.04579851118270088, 'p_fast': 9.345580774145876e-07}, {'n_selected': 26207, 'n_baseline': 63037, 'selected_mean_atr': 0.01815779546392043, 'baseline_mean_atr': 0.012058124364826018, 'edge_atr': 0.0060996710990944124, 'p_fast': 0.5156449846788957}]",2.5015577422305617e-06,"[{'quantile': 0.2, 'cutpoint': -0.5393144842412559, 'y2025_edge': {'n_selected': 67948, 'n_baseline': 286463, 'selected_mean_atr': 0.03717506873134375, 'baseline_mean_atr': 0.008113875388097588, 'edge_atr': 0.02906119334324616, 'p_fast': 2.8904442005958955e-07}}]",106760,249108,0.028839377339786233,0.004474650075971646,0.024364727263814587,4.935374618087702e-07,104274,250137,0.033954056378634086,0.0052362160761192985,0.028717840302514785,1.7514068449221354e-09,104274,250137,0.028717840302514785,48,0.004860304478141441,5.908650462469867,3.4492168785099495e-09
